geoName,geoCode,Musica Anni 80
Abruzzo,IT-65,69
Aosta,IT-23,0
Apulia,IT-75,77
Basilicata,IT-77,100
Calabria,IT-78,51
Campania,IT-72,48
Emilia-Romagna,IT-45,67
Friuli-Venezia Giulia,IT-36,69
Lazio,IT-62,62
Liguria,IT-42,78
Lombardy,IT-25,65
Marche,IT-57,75
Molise,IT-67,0
Piedmont,IT-21,67
Sardinia,IT-88,87
Sicily,IT-82,82
Trentino-Alto Adige/South Tyrol,IT-32,66
Tuscany,IT-52,70
Umbria,IT-55,79
Veneto,IT-34,85
