geoName,geoCode,desatascador
Andalusia,ES-AN,74
Aragon,ES-AR,62
Asturias,ES-AS,56
Balearic Islands,ES-IB,55
Basque Country,ES-PV,63
Canary Islands,ES-CN,34
Cantabria,ES-CB,100
Castile and León,ES-CL,63
Castile-La Mancha,ES-CM,79
Catalonia,ES-CT,69
Ceuta,ES-CE,0
Community of Madrid,ES-MD,59
Extremadura,ES-EX,83
Galicia,ES-GA,60
La Rioja,ES-RI,98
Melilla,ES-ML,0
Navarre,ES-NC,84
Region of Murcia,ES-MC,50
Valencian Community,ES-VC,59
