geoName,geoCode,Erdaushub
Baden-Württemberg,DE-BW,61
Bavaria,DE-BY,44
Berlin,DE-BE,22
Brandenburg,DE-BB,28
Bremen,DE-HB,35
Hamburg,DE-HH,15
Hesse,DE-HE,45
Lower Saxony,DE-NI,23
Mecklenburg-Vorpommern,DE-MV,20
North Rhine-Westphalia,DE-NW,34
Rhineland-Palatinate,DE-RP,72
Saarland,DE-SL,96
Saxony,DE-SN,44
Saxony-Anhalt,DE-ST,40
Schleswig-Holstein,DE-SH,15
Thuringia,DE-TH,100
