,geoName,tablature guitare débutant
3,Brittany,46.0
5,Centre-Val de Loire,100.0
7,Corsica,0.0
15,Pays de la Loire,62.0
18,Provence-Alpes-Côte d'Azur,34.0
21,Île-de-France,20.0
22,Grand-est,85.33333333333333
23,Hauts-de-france,100.0
24,Normandie,52.0
25,Bourgogne-Franche-Comté,0.0
26,Nouvelle-Aquitaine,10.0
27,Occitanie,71.0
28,Auvergne-Rhône-Alpes,15.0
