date,Verglasung,isPartial
2018-01-07,82,False
2018-01-14,81,False
2018-01-21,89,False
2018-01-28,91,False
2018-02-04,60,False
2018-02-11,82,False
2018-02-18,77,False
2018-02-25,100,False
2018-03-04,88,False
2018-03-11,90,False
2018-03-18,63,False
2018-03-25,42,False
2018-04-01,59,False
2018-04-08,81,False
2018-04-15,64,False
2018-04-22,64,False
2018-04-29,47,False
2018-05-06,61,False
2018-05-13,75,False
2018-05-20,80,False
2018-05-27,61,False
2018-06-03,70,False
2018-06-10,72,False
2018-06-17,72,False
2018-06-24,44,False
2018-07-01,66,False
2018-07-08,73,False
2018-07-15,57,False
2018-07-22,74,False
2018-07-29,64,False
2018-08-05,61,False
2018-08-12,46,False
2018-08-19,70,False
2018-08-26,67,False
2018-09-02,62,False
2018-09-09,52,False
2018-09-16,68,False
2018-09-23,59,False
2018-09-30,84,False
2018-10-07,48,False
2018-10-14,62,False
2018-10-21,80,False
2018-10-28,52,False
2018-11-04,61,False
2018-11-11,83,False
2018-11-18,75,False
2018-11-25,61,False
2018-12-02,84,False
2018-12-09,64,False
2018-12-16,54,False
2018-12-23,55,False
2018-12-30,45,False
2019-01-06,81,False
2019-01-13,47,False
2019-01-20,78,False
2019-01-27,65,False
2019-02-03,85,False
2019-02-10,82,False
2019-02-17,60,False
2019-02-24,69,False
2019-03-03,73,False
2019-03-10,86,False
2019-03-17,71,False
2019-03-24,63,False
2019-03-31,88,False
2019-04-07,88,False
2019-04-14,68,False
2019-04-21,68,False
2019-04-28,84,False
2019-05-05,60,False
2019-05-12,70,False
2019-05-19,78,False
2019-05-26,71,False
2019-06-02,88,False
2019-06-09,42,False
2019-06-16,46,False
2019-06-23,56,False
2019-06-30,93,False
2019-07-07,64,False
2019-07-14,66,False
2019-07-21,39,False
2019-07-28,60,False
2019-08-04,42,False
2019-08-11,50,False
2019-08-18,50,False
2019-08-25,67,False
2019-09-01,69,False
2019-09-08,60,False
2019-09-15,74,False
2019-09-22,60,False
2019-09-29,41,False
2019-10-06,70,False
2019-10-13,76,False
2019-10-20,40,False
2019-10-27,85,False
2019-11-03,65,False
2019-11-10,65,False
2019-11-17,52,False
2019-11-24,67,False
2019-12-01,56,False
2019-12-08,78,False
2019-12-15,76,False
2019-12-22,43,False
2019-12-29,60,False
2020-01-05,62,False
2020-01-12,74,False
2020-01-19,60,False
2020-01-26,66,False
2020-02-02,88,False
2020-02-09,67,False
2020-02-16,81,False
2020-02-23,49,False
2020-03-01,78,False
2020-03-08,55,False
2020-03-15,38,False
2020-03-22,51,False
2020-03-29,58,False
2020-04-05,77,False
2020-04-12,75,False
2020-04-19,56,False
2020-04-26,64,False
2020-05-03,64,False
2020-05-10,75,False
