geoName,geoCode,Heizung Wasser
Baden-Württemberg,DE-BW,57
Bavaria,DE-BY,63
Berlin,DE-BE,48
Brandenburg,DE-BB,71
Bremen,DE-HB,0
Hamburg,DE-HH,46
Hesse,DE-HE,71
Lower Saxony,DE-NI,89
Mecklenburg-Vorpommern,DE-MV,76
North Rhine-Westphalia,DE-NW,71
Rhineland-Palatinate,DE-RP,79
Saarland,DE-SL,80
Saxony,DE-SN,53
Saxony-Anhalt,DE-ST,50
Schleswig-Holstein,DE-SH,100
Thuringia,DE-TH,50
