date,torte per bambini,isPartial
2018-01-07,88,False
2018-01-14,72,False
2018-01-21,52,False
2018-01-28,71,False
2018-02-04,93,False
2018-02-11,85,False
2018-02-18,78,False
2018-02-25,100,False
2018-03-04,46,False
2018-03-11,89,False
2018-03-18,38,False
2018-03-25,64,False
2018-04-01,81,False
2018-04-08,61,False
2018-04-15,73,False
2018-04-22,60,False
2018-04-29,53,False
2018-05-06,38,False
2018-05-13,47,False
2018-05-20,28,False
2018-05-27,58,False
2018-06-03,77,False
2018-06-10,50,False
2018-06-17,57,False
2018-06-24,62,False
2018-07-01,57,False
2018-07-08,38,False
2018-07-15,68,False
2018-07-22,63,False
2018-07-29,89,False
2018-08-05,45,False
2018-08-12,43,False
2018-08-19,47,False
2018-08-26,54,False
2018-09-02,69,False
2018-09-09,65,False
2018-09-16,82,False
2018-09-23,47,False
2018-09-30,51,False
2018-10-07,81,False
2018-10-14,53,False
2018-10-21,70,False
2018-10-28,98,False
2018-11-04,64,False
2018-11-11,48,False
2018-11-18,70,False
2018-11-25,71,False
2018-12-02,52,False
2018-12-09,29,False
2018-12-16,59,False
2018-12-23,39,False
2018-12-30,51,False
2019-01-06,86,False
2019-01-13,74,False
2019-01-20,85,False
2019-01-27,61,False
2019-02-03,76,False
2019-02-10,50,False
2019-02-17,46,False
2019-02-24,45,False
2019-03-03,29,False
2019-03-10,61,False
2019-03-17,67,False
2019-03-24,43,False
2019-03-31,42,False
2019-04-07,42,False
2019-04-14,29,False
2019-04-21,30,False
2019-04-28,28,False
2019-05-05,54,False
2019-05-12,32,False
2019-05-19,81,False
2019-05-26,56,False
2019-06-02,61,False
2019-06-09,28,False
2019-06-16,33,False
2019-06-23,29,False
2019-06-30,29,False
2019-07-07,32,False
2019-07-14,76,False
2019-07-21,43,False
2019-07-28,39,False
2019-08-04,20,False
2019-08-11,32,False
2019-08-18,15,False
2019-08-25,32,False
2019-09-01,43,False
2019-09-08,72,False
2019-09-15,61,False
2019-09-22,35,False
2019-09-29,70,False
2019-10-06,85,False
2019-10-13,44,False
2019-10-20,21,False
2019-10-27,56,False
2019-11-03,42,False
2019-11-10,51,False
2019-11-17,46,False
2019-11-24,59,False
2019-12-01,48,False
2019-12-08,66,False
2019-12-15,27,False
2019-12-22,36,False
2019-12-29,39,False
2020-01-05,35,False
2020-01-12,45,False
2020-01-19,45,False
2020-01-26,69,False
2020-02-02,44,False
2020-02-09,42,False
2020-02-16,49,False
2020-02-23,70,False
2020-03-01,58,False
2020-03-08,48,False
2020-03-15,33,False
2020-03-22,38,False
2020-03-29,71,False
2020-04-05,38,False
2020-04-12,71,False
2020-04-19,67,False
2020-04-26,31,True
