geoName,geoCode,giradischi
Abruzzo,IT-65,78
Aosta,IT-23,0
Apulia,IT-75,73
Basilicata,IT-77,34
Calabria,IT-78,64
Campania,IT-72,57
Emilia-Romagna,IT-45,84
Friuli-Venezia Giulia,IT-36,75
Lazio,IT-62,73
Liguria,IT-42,90
Lombardy,IT-25,64
Marche,IT-57,94
Molise,IT-67,100
Piedmont,IT-21,80
Sardinia,IT-88,68
Sicily,IT-82,58
Trentino-Alto Adige/South Tyrol,IT-32,46
Tuscany,IT-52,81
Umbria,IT-55,53
Veneto,IT-34,68
