geoName,geoCode,pelouse artificielle
Brittany,FR-E,20.0
Centre-Val de Loire,FR-F,100.0
Corsica,FR-H,0.0
Pays de la Loire,FR-R,57.0
Provence-Alpes-Côte d'Azur,FR-U,36.0
Île-de-France,FR-J,24.0
Grand-est,FR-GE,21.333333333333332
Hauts-de-france,FR-HF,73.0
Normandie,FR-NO,10.0
Bourgogne-Franche-Comté,FR-BFC,27.5
Nouvelle-Aquitaine,FR-NA,55.0
Occitanie,FR-OC,39.0
Auvergne-Rhône-Alpes,FR-AR,68.5
