geoName,geoCode,abito da cerimonia
Abruzzo,IT-65,25
Aosta,IT-23,0
Apulia,IT-75,41
Basilicata,IT-77,100
Calabria,IT-78,63
Campania,IT-72,58
Emilia-Romagna,IT-45,39
Friuli-Venezia Giulia,IT-36,32
Lazio,IT-62,31
Liguria,IT-42,32
Lombardy,IT-25,45
Marche,IT-57,13
Molise,IT-67,0
Piedmont,IT-21,42
Sardinia,IT-88,40
Sicily,IT-82,68
Trentino-Alto Adige/South Tyrol,IT-32,18
Tuscany,IT-52,22
Umbria,IT-55,24
Veneto,IT-34,37
