geoName,geoCode,Baumschule
Burgenland,AT-1,54
Carinthia,AT-2,74
Lower Austria,AT-3,59
Salzburg,AT-5,45
Styria,AT-6,100
Tyrol,AT-7,20
Upper Austria,AT-4,88
Vienna,AT-9,35
Vorarlberg,AT-8,27
