geoName,geoCode,Photovoltaik Set
Burgenland,AT-1,0
Carinthia,AT-2,100
Lower Austria,AT-3,0
Salzburg,AT-5,0
Styria,AT-6,25
Tyrol,AT-7,0
Upper Austria,AT-4,0
Vienna,AT-9,19
Vorarlberg,AT-8,0
