date,Torantrieb,isPartial
2018-01-07,42,False
2018-01-14,50,False
2018-01-21,67,False
2018-01-28,38,False
2018-02-04,35,False
2018-02-11,69,False
2018-02-18,60,False
2018-02-25,34,False
2018-03-04,51,False
2018-03-11,60,False
2018-03-18,64,False
2018-03-25,96,False
2018-04-01,95,False
2018-04-08,26,False
2018-04-15,53,False
2018-04-22,50,False
2018-04-29,62,False
2018-05-06,53,False
2018-05-13,42,False
2018-05-20,63,False
2018-05-27,42,False
2018-06-03,51,False
2018-06-10,57,False
2018-06-17,41,False
2018-06-24,51,False
2018-07-01,100,False
2018-07-08,41,False
2018-07-15,26,False
2018-07-22,71,False
2018-07-29,68,False
2018-08-05,36,False
2018-08-12,41,False
2018-08-19,35,False
2018-08-26,64,False
2018-09-02,69,False
2018-09-09,39,False
2018-09-16,77,False
2018-09-23,43,False
2018-09-30,52,False
2018-10-07,52,False
2018-10-14,44,False
2018-10-21,44,False
2018-10-28,26,False
2018-11-04,62,False
2018-11-11,25,False
2018-11-18,73,False
2018-11-25,66,False
2018-12-02,33,False
2018-12-09,25,False
2018-12-16,51,False
2018-12-23,58,False
2018-12-30,79,False
2019-01-06,36,False
2019-01-13,23,False
2019-01-20,55,False
2019-01-27,58,False
2019-02-03,35,False
2019-02-10,56,False
2019-02-17,73,False
2019-02-24,91,False
2019-03-03,48,False
2019-03-10,47,False
2019-03-17,66,False
2019-03-24,49,False
2019-03-31,24,False
2019-04-07,57,False
2019-04-14,0,False
2019-04-21,26,False
2019-04-28,49,False
2019-05-05,71,False
2019-05-12,61,False
2019-05-19,48,False
2019-05-26,83,False
2019-06-02,96,False
2019-06-09,24,False
2019-06-16,49,False
2019-06-23,41,False
2019-06-30,48,False
2019-07-07,32,False
2019-07-14,38,False
2019-07-21,27,False
2019-07-28,40,False
2019-08-04,54,False
2019-08-11,39,False
2019-08-18,34,False
2019-08-25,24,False
2019-09-01,24,False
2019-09-08,24,False
2019-09-15,37,False
2019-09-22,36,False
2019-09-29,72,False
2019-10-06,31,False
2019-10-13,83,False
2019-10-20,72,False
2019-10-27,35,False
2019-11-03,22,False
2019-11-10,53,False
2019-11-17,44,False
2019-11-24,73,False
2019-12-01,23,False
2019-12-08,22,False
2019-12-15,68,False
2019-12-22,52,False
2019-12-29,49,False
2020-01-05,22,False
2020-01-12,0,False
2020-01-19,29,False
2020-01-26,36,False
2020-02-02,42,False
2020-02-09,31,False
2020-02-16,22,False
2020-02-23,48,False
2020-03-01,31,False
2020-03-08,33,False
2020-03-15,39,False
2020-03-22,32,False
2020-03-29,77,False
2020-04-05,42,False
2020-04-12,67,False
2020-04-19,53,False
2020-04-26,38,False
2020-05-03,39,False
2020-05-10,33,False
