geoName,geoCode,Torantrieb
Baden-Württemberg,DE-BW,25
Bavaria,DE-BY,34
Berlin,DE-BE,19
Brandenburg,DE-BB,100
Bremen,DE-HB,25
Hamburg,DE-HH,12
Hesse,DE-HE,27
Lower Saxony,DE-NI,19
Mecklenburg-Vorpommern,DE-MV,38
North Rhine-Westphalia,DE-NW,19
Rhineland-Palatinate,DE-RP,31
Saarland,DE-SL,87
Saxony,DE-SN,31
Saxony-Anhalt,DE-ST,77
Schleswig-Holstein,DE-SH,19
Thuringia,DE-TH,49
