date,Torantrieb,isPartial
2018-01-07,83,False
2018-01-14,47,False
2018-01-21,66,False
2018-01-28,63,False
2018-02-04,52,False
2018-02-11,97,False
2018-02-18,61,False
2018-02-25,60,False
2018-03-04,99,False
2018-03-11,48,False
2018-03-18,74,False
2018-03-25,54,False
2018-04-01,62,False
2018-04-08,46,False
2018-04-15,47,False
2018-04-22,54,False
2018-04-29,77,False
2018-05-06,68,False
2018-05-13,42,False
2018-05-20,48,False
2018-05-27,59,False
2018-06-03,75,False
2018-06-10,68,False
2018-06-17,76,False
2018-06-24,65,False
2018-07-01,67,False
2018-07-08,61,False
2018-07-15,50,False
2018-07-22,66,False
2018-07-29,67,False
2018-08-05,56,False
2018-08-12,77,False
2018-08-19,90,False
2018-08-26,76,False
2018-09-02,42,False
2018-09-09,58,False
2018-09-16,39,False
2018-09-23,71,False
2018-09-30,65,False
2018-10-07,58,False
2018-10-14,100,False
2018-10-21,54,False
2018-10-28,59,False
2018-11-04,46,False
2018-11-11,69,False
2018-11-18,70,False
2018-11-25,62,False
2018-12-02,90,False
2018-12-09,78,False
2018-12-16,64,False
2018-12-23,70,False
2018-12-30,60,False
2019-01-06,65,False
2019-01-13,47,False
2019-01-20,79,False
2019-01-27,82,False
2019-02-03,69,False
2019-02-10,70,False
2019-02-17,70,False
2019-02-24,56,False
2019-03-03,63,False
2019-03-10,44,False
2019-03-17,75,False
2019-03-24,84,False
2019-03-31,68,False
2019-04-07,82,False
2019-04-14,60,False
2019-04-21,68,False
2019-04-28,70,False
2019-05-05,83,False
2019-05-12,58,False
2019-05-19,78,False
2019-05-26,53,False
2019-06-02,88,False
2019-06-09,59,False
2019-06-16,72,False
2019-06-23,87,False
2019-06-30,34,False
2019-07-07,73,False
2019-07-14,70,False
2019-07-21,60,False
2019-07-28,68,False
2019-08-04,68,False
2019-08-11,62,False
2019-08-18,50,False
2019-08-25,55,False
2019-09-01,84,False
2019-09-08,43,False
2019-09-15,80,False
2019-09-22,56,False
2019-09-29,72,False
2019-10-06,68,False
2019-10-13,79,False
2019-10-20,64,False
2019-10-27,81,False
2019-11-03,47,False
2019-11-10,73,False
2019-11-17,60,False
2019-11-24,87,False
2019-12-01,91,False
2019-12-08,54,False
2019-12-15,55,False
2019-12-22,50,False
2019-12-29,55,False
2020-01-05,55,False
2020-01-12,71,False
2020-01-19,57,False
2020-01-26,67,False
2020-02-02,73,False
2020-02-09,55,False
2020-02-16,55,False
2020-02-23,51,False
2020-03-01,69,False
2020-03-08,52,False
2020-03-15,24,False
2020-03-22,51,False
2020-03-29,65,False
2020-04-05,83,False
2020-04-12,56,False
2020-04-19,52,False
2020-04-26,87,False
2020-05-03,61,False
2020-05-10,86,False
