geoName,geoCode,Klimatechnik
Baden-Württemberg,DE-BW,84
Bavaria,DE-BY,68
Berlin,DE-BE,55
Brandenburg,DE-BB,51
Bremen,DE-HB,63
Hamburg,DE-HH,47
Hesse,DE-HE,100
Lower Saxony,DE-NI,66
Mecklenburg-Vorpommern,DE-MV,57
North Rhine-Westphalia,DE-NW,95
Rhineland-Palatinate,DE-RP,83
Saarland,DE-SL,76
Saxony,DE-SN,44
Saxony-Anhalt,DE-ST,32
Schleswig-Holstein,DE-SH,44
Thuringia,DE-TH,79
