geoName,geoCode,Schlüsselnotdienst
Baden-Württemberg,DE-BW,37
Bavaria,DE-BY,37
Berlin,DE-BE,41
Brandenburg,DE-BB,0
Bremen,DE-HB,0
Hamburg,DE-HH,100
Hesse,DE-HE,23
Lower Saxony,DE-NI,48
Mecklenburg-Vorpommern,DE-MV,55
North Rhine-Westphalia,DE-NW,28
Rhineland-Palatinate,DE-RP,34
Saarland,DE-SL,0
Saxony,DE-SN,18
Saxony-Anhalt,DE-ST,41
Schleswig-Holstein,DE-SH,24
Thuringia,DE-TH,54
