geoName,geoCode,Sandstrahlen
Baden-Württemberg,DE-BW,79
Bavaria,DE-BY,72
Berlin,DE-BE,45
Brandenburg,DE-BB,85
Bremen,DE-HB,51
Hamburg,DE-HH,53
Hesse,DE-HE,42
Lower Saxony,DE-NI,75
Mecklenburg-Vorpommern,DE-MV,53
North Rhine-Westphalia,DE-NW,65
Rhineland-Palatinate,DE-RP,67
Saarland,DE-SL,100
Saxony,DE-SN,74
Saxony-Anhalt,DE-ST,90
Schleswig-Holstein,DE-SH,79
Thuringia,DE-TH,79
