date,Sandstrahlen,isPartial
2018-01-07,60,False
2018-01-14,69,False
2018-01-21,96,False
2018-01-28,74,False
2018-02-04,74,False
2018-02-11,69,False
2018-02-18,80,False
2018-02-25,48,False
2018-03-04,55,False
2018-03-11,71,False
2018-03-18,84,False
2018-03-25,53,False
2018-04-01,53,False
2018-04-08,88,False
2018-04-15,74,False
2018-04-22,76,False
2018-04-29,63,False
2018-05-06,87,False
2018-05-13,77,False
2018-05-20,70,False
2018-05-27,48,False
2018-06-03,61,False
2018-06-10,58,False
2018-06-17,71,False
2018-06-24,72,False
2018-07-01,70,False
2018-07-08,65,False
2018-07-15,63,False
2018-07-22,75,False
2018-07-29,100,False
2018-08-05,74,False
2018-08-12,68,False
2018-08-19,80,False
2018-08-26,64,False
2018-09-02,75,False
2018-09-09,69,False
2018-09-16,67,False
2018-09-23,53,False
2018-09-30,50,False
2018-10-07,83,False
2018-10-14,64,False
2018-10-21,77,False
2018-10-28,64,False
2018-11-04,41,False
2018-11-11,61,False
2018-11-18,44,False
2018-11-25,57,False
2018-12-02,38,False
2018-12-09,52,False
2018-12-16,50,False
2018-12-23,55,False
2018-12-30,46,False
2019-01-06,54,False
2019-01-13,67,False
2019-01-20,61,False
2019-01-27,50,False
2019-02-03,45,False
2019-02-10,81,False
2019-02-17,60,False
2019-02-24,66,False
2019-03-03,63,False
2019-03-10,72,False
2019-03-17,75,False
2019-03-24,80,False
2019-03-31,68,False
2019-04-07,92,False
2019-04-14,68,False
2019-04-21,87,False
2019-04-28,77,False
2019-05-05,72,False
2019-05-12,56,False
2019-05-19,58,False
2019-05-26,70,False
2019-06-02,58,False
2019-06-09,64,False
2019-06-16,69,False
2019-06-23,62,False
2019-06-30,68,False
2019-07-07,79,False
2019-07-14,53,False
2019-07-21,82,False
2019-07-28,62,False
2019-08-04,75,False
2019-08-11,58,False
2019-08-18,69,False
2019-08-25,76,False
2019-09-01,81,False
2019-09-08,66,False
2019-09-15,46,False
2019-09-22,60,False
2019-09-29,72,False
2019-10-06,64,False
2019-10-13,86,False
2019-10-20,56,False
2019-10-27,56,False
2019-11-03,71,False
2019-11-10,50,False
2019-11-17,41,False
2019-11-24,55,False
2019-12-01,38,False
2019-12-08,50,False
2019-12-15,42,False
2019-12-22,37,False
2019-12-29,40,False
2020-01-05,65,False
2020-01-12,57,False
2020-01-19,66,False
2020-01-26,49,False
2020-02-02,83,False
2020-02-09,68,False
2020-02-16,59,False
2020-02-23,60,False
2020-03-01,66,False
2020-03-08,65,False
2020-03-15,53,False
2020-03-22,72,False
2020-03-29,63,False
2020-04-05,69,False
2020-04-12,90,False
2020-04-19,84,False
2020-04-26,80,False
2020-05-03,98,False
2020-05-10,68,False
