geoName,geoCode,Sonnenschutz Terrasse
Baden-Württemberg,DE-BW,31
Bavaria,DE-BY,36
Berlin,DE-BE,20
Brandenburg,DE-BB,43
Bremen,DE-HB,0
Hamburg,DE-HH,20
Hesse,DE-HE,23
Lower Saxony,DE-NI,46
Mecklenburg-Vorpommern,DE-MV,63
North Rhine-Westphalia,DE-NW,26
Rhineland-Palatinate,DE-RP,40
Saarland,DE-SL,0
Saxony,DE-SN,24
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,47
Thuringia,DE-TH,80
