date,Photovoltaik,Gärtner,Garten und Landschaftsbau,isPartial
2018-01-07,25,37,0,False
2018-01-14,20,33,12,False
2018-01-21,17,29,0,False
2018-01-28,33,25,12,False
2018-02-04,19,30,13,False
2018-02-11,12,44,13,False
2018-02-18,25,46,13,False
2018-02-25,25,31,13,False
2018-03-04,38,30,13,False
2018-03-11,25,60,13,False
2018-03-18,39,21,0,False
2018-03-25,21,64,0,False
2018-04-01,28,61,0,False
2018-04-08,33,49,13,False
2018-04-15,23,46,28,False
2018-04-22,20,72,13,False
2018-04-29,56,85,0,False
2018-05-06,29,43,15,False
2018-05-13,27,18,0,False
2018-05-20,21,28,14,False
2018-05-27,33,26,13,False
2018-06-03,32,27,14,False
2018-06-10,13,32,0,False
2018-06-17,22,52,13,False
2018-06-24,20,44,13,False
2018-07-01,31,31,13,False
2018-07-08,18,36,13,False
2018-07-15,28,21,0,False
2018-07-22,41,14,0,False
2018-07-29,18,49,0,False
2018-08-05,32,34,0,False
2018-08-12,17,34,0,False
2018-08-19,13,30,0,False
2018-08-26,20,26,20,False
2018-09-02,13,56,39,False
2018-09-09,22,35,19,False
2018-09-16,52,30,26,False
2018-09-23,13,21,13,False
2018-09-30,41,32,0,False
2018-10-07,34,23,0,False
2018-10-14,34,34,13,False
2018-10-21,37,19,12,False
2018-10-28,32,12,24,False
2018-11-04,24,44,16,False
2018-11-11,18,33,12,False
2018-11-18,23,16,0,False
2018-11-25,24,12,12,False
2018-12-02,12,24,12,False
2018-12-09,28,12,12,False
2018-12-16,43,25,12,False
2018-12-23,43,35,13,False
2018-12-30,18,36,0,False
2019-01-06,34,22,17,False
2019-01-13,11,37,17,False
2019-01-20,28,17,0,False
2019-01-27,26,15,0,False
2019-02-03,28,30,17,False
2019-02-10,24,36,0,False
2019-02-17,27,23,23,False
2019-02-24,64,35,12,False
2019-03-03,34,34,11,False
2019-03-10,26,41,11,False
2019-03-17,28,57,12,False
2019-03-24,24,29,0,False
2019-03-31,24,48,0,False
2019-04-07,36,47,18,False
2019-04-14,35,100,13,False
2019-04-21,25,50,19,False
2019-04-28,27,27,17,False
2019-05-05,11,30,19,False
2019-05-12,35,59,12,False
2019-05-19,27,35,12,False
2019-05-26,24,24,12,False
2019-06-02,35,32,24,False
2019-06-09,31,63,12,False
2019-06-16,27,35,12,False
2019-06-23,12,36,0,False
2019-06-30,24,24,12,False
2019-07-07,43,24,12,False
2019-07-14,29,21,13,False
2019-07-21,44,22,0,False
2019-07-28,25,29,25,False
2019-08-04,25,38,19,False
2019-08-11,24,36,18,False
2019-08-18,12,20,16,False
2019-08-25,30,34,17,False
2019-09-01,50,23,0,False
2019-09-08,51,29,18,False
2019-09-15,42,24,12,False
2019-09-22,34,22,17,False
2019-09-29,19,30,11,False
2019-10-06,47,23,23,False
2019-10-13,30,29,11,False
2019-10-20,16,18,11,False
2019-10-27,32,14,11,False
2019-11-03,42,16,10,False
2019-11-10,28,11,11,False
2019-11-17,28,38,15,False
2019-11-24,26,62,10,False
2019-12-01,16,16,11,False
2019-12-08,11,35,16,False
2019-12-15,22,15,16,False
2019-12-22,40,15,11,False
2019-12-29,48,28,11,False
2020-01-05,50,20,0,False
2020-01-12,39,36,16,False
2020-01-19,43,23,10,False
2020-01-26,49,25,0,False
2020-02-02,39,33,0,False
2020-02-09,27,36,10,False
2020-02-16,30,13,13,False
2020-02-23,26,23,0,False
2020-03-01,39,16,10,False
2020-03-08,28,40,9,False
2020-03-15,21,30,0,False
2020-03-22,23,37,0,False
2020-03-29,20,34,9,False
2020-04-05,33,52,10,False
2020-04-12,22,52,0,False
2020-04-19,33,36,9,False
2020-04-26,26,53,9,False
2020-05-03,33,42,9,False
2020-05-10,39,30,9,False
2020-05-17,32,39,10,False
2020-05-24,31,44,9,False
2020-05-31,24,27,13,False
2020-06-07,22,35,15,False
