geoName,geoCode,paysagiste,store banne,panneau solaire,Gazon synthétique,pisciniste
Alsace,FR-A,36,22,19,10,13
Aquitaine,FR-B,21,33,23,14,9
Auvergne,FR-C,23,38,19,12,8
Brittany,FR-E,39,31,19,6,5
Burgundy,FR-D,28,34,20,10,8
Centre-Val de Loire,FR-F,24,37,24,9,6
Champagne-Ardenne,FR-G,19,39,21,14,7
Corsica,FR-H,18,24,26,21,11
Franche-Comté,FR-I,30,36,19,7,8
Languedoc-Roussillon,FR-K,15,25,20,33,7
Limousin,FR-L,24,30,24,13,9
Lorraine,FR-M,29,31,20,13,7
Lower Normandy,FR-P,27,38,23,8,4
Midi-Pyrénées,FR-N,15,30,26,17,12
Nord-Pas-de-Calais,FR-O,20,43,20,13,4
Pays de la Loire,FR-R,32,36,17,9,6
Picardy,FR-S,23,39,23,9,6
Poitou-Charentes,FR-T,27,35,18,11,9
Provence-Alpes-Côte d'Azur,FR-U,14,23,20,35,8
Rhone-Alpes,FR-V,26,28,22,15,9
Upper Normandy,FR-Q,22,40,22,11,5
Île-de-France,FR-J,27,30,22,16,5
