date,Photovoltaik,Gärtner,Garten und Landschaftsbau,isPartial
2018-01-07,24,35,3,False
2018-01-14,21,23,0,False
2018-01-21,27,40,6,False
2018-01-28,17,33,11,False
2018-02-04,19,36,15,False
2018-02-11,13,36,7,False
2018-02-18,26,39,10,False
2018-02-25,28,39,10,False
2018-03-04,29,32,5,False
2018-03-11,19,33,10,False
2018-03-18,23,20,5,False
2018-03-25,5,53,7,False
2018-04-01,16,52,11,False
2018-04-08,29,44,10,False
2018-04-15,25,50,18,False
2018-04-22,24,50,14,False
2018-04-29,25,42,4,False
2018-05-06,29,52,10,False
2018-05-13,20,51,10,False
2018-05-20,14,48,16,False
2018-05-27,9,50,12,False
2018-06-03,38,38,10,False
2018-06-10,18,17,15,False
2018-06-17,17,33,10,False
2018-06-24,5,28,9,False
2018-07-01,14,38,11,False
2018-07-08,14,36,9,False
2018-07-15,14,32,12,False
2018-07-22,12,25,0,False
2018-07-29,17,26,3,False
2018-08-05,27,29,12,False
2018-08-12,28,32,9,False
2018-08-19,42,25,8,False
2018-08-26,20,41,10,False
2018-09-02,13,36,7,False
2018-09-09,13,41,7,False
2018-09-16,30,47,8,False
2018-09-23,29,34,5,False
2018-09-30,18,37,4,False
2018-10-07,30,36,7,False
2018-10-14,22,22,10,False
2018-10-21,30,39,3,False
2018-10-28,26,47,3,False
2018-11-04,30,33,5,False
2018-11-11,18,26,10,False
2018-11-18,31,31,3,False
2018-11-25,22,26,7,False
2018-12-02,20,26,7,False
2018-12-09,29,16,3,False
2018-12-16,16,39,4,False
2018-12-23,14,26,8,False
2018-12-30,22,25,7,False
2019-01-06,12,18,5,False
2019-01-13,27,27,5,False
2019-01-20,32,40,13,False
2019-01-27,22,24,8,False
2019-02-03,43,43,13,False
2019-02-10,29,45,11,False
2019-02-17,37,33,8,False
2019-02-24,27,48,8,False
2019-03-03,29,56,6,False
2019-03-10,32,38,8,False
2019-03-17,33,46,17,False
2019-03-24,33,59,7,False
2019-03-31,23,47,3,False
2019-04-07,23,54,11,False
2019-04-14,28,100,10,False
2019-04-21,41,57,5,False
2019-04-28,33,42,5,False
2019-05-05,33,44,9,False
2019-05-12,20,36,10,False
2019-05-19,32,40,13,False
2019-05-26,32,45,18,False
2019-06-02,27,46,9,False
2019-06-09,21,47,7,False
2019-06-16,29,44,10,False
2019-06-23,37,36,12,False
2019-06-30,49,39,14,False
2019-07-07,35,37,8,False
2019-07-14,35,29,10,False
2019-07-21,29,23,14,False
2019-07-28,25,30,12,False
2019-08-04,24,25,7,False
2019-08-11,38,51,16,False
2019-08-18,45,42,10,False
2019-08-25,32,27,6,False
2019-09-01,39,43,13,False
2019-09-08,26,39,10,False
2019-09-15,48,46,5,False
2019-09-22,40,40,13,False
2019-09-29,39,53,8,False
2019-10-06,26,40,8,False
2019-10-13,32,31,9,False
2019-10-20,52,38,8,False
2019-10-27,32,33,3,False
2019-11-03,17,50,9,False
2019-11-10,30,41,12,False
2019-11-17,47,41,6,False
2019-11-24,39,43,4,False
2019-12-01,28,17,12,False
2019-12-08,27,45,11,False
2019-12-15,23,23,5,False
2019-12-22,31,24,7,False
2019-12-29,31,31,5,False
2020-01-05,26,31,9,False
2020-01-12,35,46,12,False
2020-01-19,40,34,10,False
2020-01-26,59,45,3,False
2020-02-02,48,38,9,False
2020-02-09,41,24,6,False
2020-02-16,41,34,6,False
2020-02-23,25,48,6,False
2020-03-01,47,34,7,False
2020-03-08,31,37,11,False
2020-03-15,23,36,5,False
2020-03-22,16,49,5,False
2020-03-29,20,56,8,False
2020-04-05,44,62,15,False
2020-04-12,29,53,11,False
2020-04-19,23,54,5,False
2020-04-26,37,46,8,False
2020-05-03,34,55,7,False
2020-05-10,29,46,8,False
2020-05-17,35,55,4,False
2020-05-24,46,63,11,False
2020-05-31,32,48,14,False
2020-06-07,38,44,10,True
