date,Photovoltaik,Gärtner,Garten und Landschaftsbau,isPartial
2018-01-07,47,46,3,False
2018-01-14,43,37,6,False
2018-01-21,41,40,5,False
2018-01-28,41,46,4,False
2018-02-04,45,33,6,False
2018-02-11,29,49,8,False
2018-02-18,42,43,9,False
2018-02-25,59,44,9,False
2018-03-04,53,44,7,False
2018-03-11,53,39,12,False
2018-03-18,41,53,2,False
2018-03-25,41,72,7,False
2018-04-01,49,77,12,False
2018-04-08,55,60,14,False
2018-04-15,45,70,10,False
2018-04-22,38,47,12,False
2018-04-29,34,56,7,False
2018-05-06,56,42,8,False
2018-05-13,51,46,8,False
2018-05-20,35,49,8,False
2018-05-27,37,53,8,False
2018-06-03,38,47,5,False
2018-06-10,57,42,6,False
2018-06-17,56,45,5,False
2018-06-24,49,42,5,False
2018-07-01,49,43,5,False
2018-07-08,33,44,7,False
2018-07-15,49,33,7,False
2018-07-22,51,33,5,False
2018-07-29,47,39,6,False
2018-08-05,47,48,7,False
2018-08-12,43,29,5,False
2018-08-19,55,51,7,False
2018-08-26,47,41,6,False
2018-09-02,40,54,8,False
2018-09-09,50,72,8,False
2018-09-16,36,62,4,False
2018-09-23,40,40,3,False
2018-09-30,41,41,9,False
2018-10-07,43,47,6,False
2018-10-14,32,36,12,False
2018-10-21,39,52,5,False
2018-10-28,49,42,6,False
2018-11-04,53,37,7,False
2018-11-11,41,27,6,False
2018-11-18,50,37,5,False
2018-11-25,50,31,3,False
2018-12-02,40,32,4,False
2018-12-09,39,37,7,False
2018-12-16,41,25,0,False
2018-12-23,39,26,5,False
2018-12-30,61,50,2,False
2019-01-06,43,38,8,False
2019-01-13,47,33,2,False
2019-01-20,54,40,11,False
2019-01-27,52,42,6,False
2019-02-03,70,52,8,False
2019-02-10,69,47,7,False
2019-02-17,62,46,7,False
2019-02-24,58,49,4,False
2019-03-03,61,47,4,False
2019-03-10,55,37,5,False
2019-03-17,67,54,9,False
2019-03-24,64,57,10,False
2019-03-31,59,62,14,False
2019-04-07,51,62,5,False
2019-04-14,59,100,9,False
2019-04-21,79,67,9,False
2019-04-28,66,60,8,False
2019-05-05,56,43,9,False
2019-05-12,57,60,7,False
2019-05-19,52,42,8,False
2019-05-26,67,37,5,False
2019-06-02,46,56,9,False
2019-06-09,70,56,5,False
2019-06-16,50,28,9,False
2019-06-23,59,42,5,False
2019-06-30,61,33,2,False
2019-07-07,60,37,7,False
2019-07-14,63,44,6,False
2019-07-21,63,42,8,False
2019-07-28,77,37,3,False
2019-08-04,58,51,8,False
2019-08-11,84,35,7,False
2019-08-18,65,37,10,False
2019-08-25,68,30,5,False
2019-09-01,53,37,11,False
2019-09-08,55,41,6,False
2019-09-15,84,37,12,False
2019-09-22,91,38,6,False
2019-09-29,64,40,10,False
2019-10-06,70,40,8,False
2019-10-13,52,34,6,False
2019-10-20,71,38,10,False
2019-10-27,69,31,5,False
2019-11-03,79,36,9,False
2019-11-10,75,40,7,False
2019-11-17,59,52,8,False
2019-11-24,55,36,8,False
2019-12-01,57,30,13,False
2019-12-08,46,54,6,False
2019-12-15,57,35,5,False
2019-12-22,41,18,0,False
2019-12-29,97,20,4,False
2020-01-05,85,35,6,False
2020-01-12,66,38,9,False
2020-01-19,83,36,3,False
2020-01-26,88,34,3,False
2020-02-02,82,37,10,False
2020-02-09,78,46,8,False
2020-02-16,73,37,6,False
2020-02-23,71,49,3,False
2020-03-01,65,51,5,False
2020-03-08,66,52,9,False
2020-03-15,42,48,11,False
2020-03-22,53,49,8,False
2020-03-29,46,91,5,False
2020-04-05,59,92,5,False
2020-04-12,65,72,8,False
2020-04-19,55,86,7,False
2020-04-26,80,53,9,False
2020-05-03,72,65,11,False
2020-05-10,74,69,5,False
2020-05-17,87,55,4,False
2020-05-24,73,49,11,False
2020-05-31,85,44,8,False
2020-06-07,65,35,4,False
