date,paysagiste,store banne,panneau solaire,Gazon synthétique,pisciniste
2018-01-07,0.43,0.055,0.23,0.05,0.04
2018-01-14,0.265,0.125,0.33,0.04,0.02
2018-01-21,0.385,0.21,0.245,0.03,0.125
2018-01-28,0.27,0.175,0.29,0.03,0.04
2018-02-04,0.45,0.14,0.33,0.09,0.085
2018-02-11,0.31,0.15,0.185,0.095,0.02
2018-02-18,0.375,0.175,0.355,0.02,0.0
2018-02-25,0.47,0.15,0.38,0.18,0.02
2018-03-04,0.445,0.245,0.26,0.165,0.03
2018-03-11,0.4,0.235,0.255,0.125,0.11
2018-03-18,0.48,0.295,0.295,0.075,0.025
2018-03-25,0.415,0.275,0.315,0.25,0.04
2018-04-01,0.605,0.445,0.42,0.2,0.035
2018-04-08,0.355,0.28,0.395,0.205,0.175
2018-04-15,0.415,0.6,0.37,0.25,0.105
2018-04-22,0.465,0.535,0.355,0.165,0.165
2018-04-29,0.335,0.35,0.3,0.145,0.27
2018-05-06,0.385,0.545,0.275,0.15,0.16
2018-05-13,0.315,0.335,0.29,0.225,0.09
2018-05-20,0.325,0.46,0.26,0.21,0.17
2018-05-27,0.41,0.45,0.465,0.05,0.04
2018-06-03,0.375,0.425,0.46,0.08,0.05
2018-06-10,0.315,0.23,0.3,0.145,0.04
2018-06-17,0.27,0.405,0.28,0.185,0.155
2018-06-24,0.485,0.575,0.285,0.155,0.16
2018-07-01,0.36,0.51,0.23,0.07,0.16
2018-07-08,0.6,0.405,0.315,0.205,0.185
2018-07-15,0.39,0.295,0.285,0.13,0.195
2018-07-22,0.31,0.335,0.295,0.08,0.16
2018-07-29,0.38,0.45,0.47,0.115,0.16
2018-08-05,0.335,0.36,0.34,0.06,0.145
2018-08-12,0.275,0.365,0.235,0.07,0.12
2018-08-19,0.335,0.28,0.25,0.145,0.075
2018-08-26,0.355,0.155,0.26,0.13,0.19
2018-09-02,0.41,0.21,0.245,0.05,0.065
2018-09-09,0.51,0.205,0.24,0.11,0.155
2018-09-16,0.4,0.17,0.25,0.12,0.105
2018-09-23,0.51,0.16,0.425,0.02,0.03
2018-09-30,0.435,0.13,0.44,0.105,0.045
2018-10-07,0.415,0.225,0.38,0.065,0.02
2018-10-14,0.37,0.045,0.455,0.09,0.065
2018-10-21,0.42,0.105,0.305,0.12,0.02
2018-10-28,0.46,0.19,0.37,0.035,0.03
2018-11-04,0.395,0.05,0.375,0.02,0.105
