date,Photovoltaik,Gärtner,Garten und Landschaftsbau,isPartial
2018-01-07,39,44,26,False
2018-01-14,38,26,38,False
2018-01-21,26,52,39,False
2018-01-28,19,38,13,False
2018-02-04,18,53,26,False
2018-02-11,26,57,39,False
2018-02-18,31,49,13,False
2018-02-25,26,52,26,False
2018-03-04,26,73,13,False
2018-03-11,39,47,26,False
2018-03-18,35,53,26,False
2018-03-25,26,100,13,False
2018-04-01,49,88,28,False
2018-04-08,32,68,14,False
2018-04-15,18,78,14,False
2018-04-22,26,91,26,False
2018-04-29,33,40,18,False
2018-05-06,34,55,14,False
2018-05-13,22,66,13,False
2018-05-20,27,59,13,False
2018-05-27,43,73,17,False
2018-06-03,57,31,26,False
2018-06-10,41,49,24,False
2018-06-17,21,46,19,False
2018-06-24,17,52,13,False
2018-07-01,34,57,30,False
2018-07-08,25,54,19,False
2018-07-15,18,60,0,False
2018-07-22,26,45,19,False
2018-07-29,38,55,26,False
2018-08-05,37,33,17,False
2018-08-12,12,86,18,False
2018-08-19,37,62,19,False
2018-08-26,17,54,12,False
2018-09-02,25,60,19,False
2018-09-09,42,63,19,False
2018-09-16,70,68,13,False
2018-09-23,34,52,19,False
2018-09-30,22,44,26,False
2018-10-07,35,55,35,False
2018-10-14,13,22,34,False
2018-10-21,57,34,17,False
2018-10-28,25,41,50,False
2018-11-04,29,37,25,False
2018-11-11,57,51,21,False
2018-11-18,24,61,12,False
2018-11-25,17,51,25,False
2018-12-02,25,30,13,False
2018-12-09,34,47,13,False
2018-12-16,13,35,13,False
2018-12-23,35,56,0,False
2018-12-30,64,47,13,False
2019-01-06,32,48,18,False
2019-01-13,36,30,24,False
2019-01-20,24,20,18,False
2019-01-27,32,42,24,False
2019-02-03,44,54,24,False
2019-02-10,41,33,19,False
2019-02-17,45,74,21,False
2019-02-24,42,54,19,False
2019-03-03,42,67,30,False
2019-03-10,28,47,48,False
2019-03-17,31,62,12,False
2019-03-24,37,66,19,False
2019-03-31,56,69,19,False
2019-04-07,59,87,22,False
2019-04-14,20,92,13,False
2019-04-21,50,54,19,False
2019-04-28,48,40,28,False
2019-05-05,45,61,16,False
2019-05-12,25,65,16,False
2019-05-19,32,28,36,False
2019-05-26,24,48,24,False
2019-06-02,40,72,24,False
2019-06-09,19,70,31,False
2019-06-16,35,75,18,False
2019-06-23,36,56,24,False
2019-06-30,27,35,12,False
2019-07-07,31,55,12,False
2019-07-14,48,36,24,False
2019-07-21,50,41,38,False
2019-07-28,31,19,47,False
2019-08-04,34,38,15,False
2019-08-11,37,48,16,False
2019-08-18,53,46,34,False
2019-08-25,38,34,11,False
2019-09-01,55,22,15,False
2019-09-08,19,42,11,False
2019-09-15,46,46,23,False
2019-09-22,42,53,19,False
2019-09-29,60,38,11,False
2019-10-06,42,69,17,False
2019-10-13,45,26,26,False
2019-10-20,47,51,11,False
2019-10-27,44,33,22,False
2019-11-03,43,33,11,False
2019-11-10,30,33,15,False
2019-11-17,48,63,11,False
2019-11-24,38,47,33,False
2019-12-01,28,22,22,False
2019-12-08,48,44,16,False
2019-12-15,45,42,11,False
2019-12-22,40,44,36,False
2019-12-29,26,22,44,False
2020-01-05,35,21,16,False
2020-01-12,45,45,10,False
2020-01-19,57,39,22,False
2020-01-26,46,46,28,False
2020-02-02,35,35,32,False
2020-02-09,34,52,14,False
2020-02-16,63,46,21,False
2020-02-23,41,24,21,False
2020-03-01,53,35,28,False
2020-03-08,26,58,16,False
2020-03-15,31,71,19,False
2020-03-22,34,83,18,False
2020-03-29,37,70,32,False
2020-04-05,24,67,30,False
2020-04-12,32,61,10,False
2020-04-19,41,85,33,False
2020-04-26,36,42,15,False
2020-05-03,50,65,22,False
2020-05-10,43,67,25,False
2020-05-17,35,41,19,False
2020-05-24,54,88,19,False
2020-05-31,57,27,12,False
2020-06-07,52,74,14,False
