date,paysagiste,store banne,panneau solaire,Gazon synthétique,pisciniste,isPartial
2018-01-07,24,24,24,0,12,False
2018-01-14,47,12,27,12,0,False
2018-01-21,45,0,41,0,0,False
2018-01-28,41,18,41,12,12,False
2018-02-04,31,23,23,0,12,False
2018-02-11,36,12,18,0,12,False
2018-02-18,63,21,13,29,13,False
2018-02-25,47,23,23,0,23,False
2018-03-04,75,20,39,12,12,False
2018-03-11,48,20,24,0,24,False
2018-03-18,49,12,33,12,0,False
2018-03-25,52,20,28,24,18,False
2018-04-01,29,37,17,12,12,False
2018-04-08,29,19,29,12,0,False
2018-04-15,31,49,31,40,33,False
2018-04-22,39,67,39,12,19,False
2018-04-29,34,55,43,0,19,False
2018-05-06,29,53,33,12,32,False
2018-05-13,45,18,32,12,12,False
2018-05-20,43,78,26,13,13,False
2018-05-27,50,50,37,25,12,False
2018-06-03,21,38,38,13,12,False
2018-06-10,38,17,47,13,13,False
2018-06-17,43,58,43,14,14,False
2018-06-24,33,52,62,0,14,False
2018-07-01,36,53,22,26,13,False
2018-07-08,50,41,14,14,27,False
2018-07-15,23,28,28,14,14,False
2018-07-22,41,55,32,14,27,False
2018-07-29,36,48,31,0,22,False
2018-08-05,26,52,22,13,39,False
2018-08-12,49,53,40,33,13,False
2018-08-19,27,40,36,13,13,False
2018-08-26,81,20,13,13,13,False
2018-09-02,33,56,28,14,28,False
2018-09-09,32,23,41,14,0,False
2018-09-16,61,23,47,0,14,False
2018-09-23,33,14,28,0,28,False
2018-09-30,28,14,21,14,14,False
2018-10-07,28,14,52,14,28,False
2018-10-14,63,0,24,14,43,False
2018-10-21,36,0,29,14,0,False
2018-10-28,28,18,21,0,14,False
2018-11-04,36,13,27,13,13,False
2018-11-11,37,0,56,0,0,False
2018-11-18,27,14,32,0,13,False
2018-11-25,34,14,59,0,13,False
2018-12-02,48,21,32,0,14,False
2018-12-09,49,27,48,0,14,False
2018-12-16,19,28,28,0,21,False
2018-12-23,15,15,30,0,15,False
2018-12-30,29,30,15,0,0,False
2019-01-06,28,27,37,0,0,False
2019-01-13,40,13,27,0,13,False
2019-01-20,26,22,40,0,13,False
2019-01-27,20,0,26,0,26,False
2019-02-03,32,18,32,0,0,False
2019-02-10,55,18,28,14,21,False
2019-02-17,22,34,19,14,0,False
2019-02-24,57,42,62,14,28,False
2019-03-03,35,26,49,13,13,False
2019-03-10,68,59,41,18,18,False
2019-03-17,52,52,19,14,42,False
2019-03-24,33,33,33,21,14,False
2019-03-31,49,72,31,13,13,False
2019-04-07,51,28,14,21,14,False
2019-04-14,33,56,23,14,21,False
2019-04-21,40,45,49,33,27,False
2019-04-28,31,53,53,31,13,False
2019-05-05,34,62,36,13,13,False
2019-05-12,46,27,68,14,27,False
2019-05-19,45,36,27,18,13,False
2019-05-26,63,54,32,13,27,False
2019-06-02,54,63,50,12,19,False
2019-06-09,35,26,26,32,13,False
2019-06-16,27,45,77,20,20,False
2019-06-23,61,53,53,0,31,False
2019-06-30,52,70,70,0,26,False
2019-07-07,30,68,34,25,19,False
2019-07-14,61,56,43,26,21,False
2019-07-21,19,46,63,12,21,False
2019-07-28,17,22,17,19,19,False
2019-08-04,20,16,43,12,18,False
2019-08-11,16,31,47,23,17,False
2019-08-18,24,36,37,12,12,False
2019-08-25,40,24,57,12,24,False
2019-09-01,34,42,31,10,15,False
2019-09-08,55,30,36,0,18,False
2019-09-15,55,34,34,25,13,False
2019-09-22,49,24,43,0,20,False
2019-09-29,29,13,25,25,25,False
2019-10-06,63,31,56,12,12,False
2019-10-13,44,24,32,0,0,False
2019-10-20,32,12,61,0,0,False
2019-10-27,39,12,43,12,12,False
2019-11-03,44,12,66,0,24,False
2019-11-10,40,12,32,0,0,False
2019-11-17,20,0,40,12,12,False
2019-11-24,39,0,47,0,0,False
2019-12-01,24,18,45,0,0,False
2019-12-08,32,12,28,0,12,False
2019-12-15,31,12,37,12,0,False
2019-12-22,13,0,27,13,0,False
2019-12-29,13,13,77,13,13,False
2020-01-05,24,20,39,0,12,False
2020-01-12,50,23,42,19,23,False
2020-01-19,44,18,44,0,12,False
2020-01-26,62,12,43,0,12,False
2020-02-02,71,16,24,12,35,False
2020-02-09,58,27,39,12,12,False
2020-02-16,39,46,59,17,12,False
2020-02-23,46,19,42,12,11,False
2020-03-01,57,19,42,17,17,False
2020-03-08,34,33,17,11,0,False
2020-03-15,33,23,30,15,0,False
2020-03-22,42,26,23,19,0,False
2020-03-29,32,19,26,13,14,False
2020-04-05,35,58,48,19,19,False
2020-04-12,49,59,20,29,19,False
2020-04-19,33,66,46,10,15,False
2020-04-26,40,46,24,27,18,False
2020-05-03,41,69,31,19,16,False
2020-05-10,27,75,44,30,13,False
2020-05-17,79,83,34,26,37,False
2020-05-24,61,100,46,32,28,False
2020-05-31,31,88,31,30,30,False
2020-06-07,41,51,31,34,20,False
2020-06-14,55,24,55,23,0,True
