date,Photovoltaik,Gärtner,Garten und Landschaftsbau,isPartial
2018-01-07,19,38,19,False
2018-01-14,34,0,20,False
2018-01-21,27,20,31,False
2018-01-28,20,61,0,False
2018-02-04,32,36,0,False
2018-02-11,21,49,21,False
2018-02-18,21,76,0,False
2018-02-25,42,35,21,False
2018-03-04,20,41,20,False
2018-03-11,42,51,0,False
2018-03-18,32,21,21,False
2018-03-25,21,77,0,False
2018-04-01,20,47,20,False
2018-04-08,35,56,0,False
2018-04-15,68,60,0,False
2018-04-22,32,71,0,False
2018-04-29,43,51,22,False
2018-05-06,22,74,22,False
2018-05-13,32,36,0,False
2018-05-20,22,22,0,False
2018-05-27,20,31,0,False
2018-06-03,32,21,22,False
2018-06-10,26,78,19,False
2018-06-17,20,29,20,False
2018-06-24,61,20,0,False
2018-07-01,38,47,19,False
2018-07-08,29,34,17,False
2018-07-15,17,23,26,False
2018-07-22,16,40,16,False
2018-07-29,24,32,16,False
2018-08-05,31,15,15,False
2018-08-12,46,36,15,False
2018-08-19,89,18,0,False
2018-08-26,20,40,20,False
2018-09-02,20,54,20,False
2018-09-09,20,27,20,False
2018-09-16,41,71,20,False
2018-09-23,20,55,20,False
2018-09-30,40,54,20,False
2018-10-07,21,43,0,False
2018-10-14,72,41,20,False
2018-10-21,20,20,0,False
2018-10-28,0,20,20,False
2018-11-04,30,27,20,False
2018-11-11,20,40,20,False
2018-11-18,79,20,0,False
2018-11-25,27,34,0,False
2018-12-02,41,61,0,False
2018-12-09,27,21,0,False
2018-12-16,20,20,0,False
2018-12-23,20,27,20,False
2018-12-30,37,28,0,False
2019-01-06,56,19,19,False
2019-01-13,28,25,19,False
2019-01-20,19,31,37,False
2019-01-27,32,32,19,False
2019-02-03,40,20,40,False
2019-02-10,20,67,20,False
2019-02-17,32,48,49,False
2019-02-24,40,40,20,False
2019-03-03,19,56,0,False
2019-03-10,38,63,19,False
2019-03-17,29,39,20,False
2019-03-24,29,26,20,False
2019-03-31,41,52,0,False
2019-04-07,20,52,0,False
2019-04-14,21,82,21,False
2019-04-21,29,77,20,False
2019-04-28,28,50,19,False
2019-05-05,38,38,19,False
2019-05-12,58,26,58,False
2019-05-19,31,28,19,False
2019-05-26,28,37,18,False
2019-06-02,19,56,28,False
2019-06-09,46,55,0,False
2019-06-16,19,31,19,False
2019-06-23,47,47,19,False
2019-06-30,27,45,0,False
2019-07-07,27,24,18,False
2019-07-14,23,26,18,False
2019-07-21,30,18,18,False
2019-07-28,17,34,0,False
2019-08-04,26,44,18,False
2019-08-11,17,40,0,False
2019-08-18,30,24,18,False
2019-08-25,18,44,18,False
2019-09-01,17,17,0,False
2019-09-08,58,53,18,False
2019-09-15,89,36,18,False
2019-09-22,61,30,18,False
2019-09-29,44,18,0,False
2019-10-06,27,27,0,False
2019-10-13,50,38,16,False
2019-10-20,25,0,0,False
2019-10-27,17,26,17,False
2019-11-03,33,17,16,False
2019-11-10,51,34,17,False
2019-11-17,100,67,25,False
2019-11-24,26,17,17,False
2019-12-01,35,18,18,False
2019-12-08,35,35,18,False
2019-12-15,24,18,18,False
2019-12-22,37,38,0,False
2019-12-29,49,0,0,False
2020-01-05,32,16,24,False
2020-01-12,31,37,16,False
2020-01-19,32,16,16,False
2020-01-26,0,31,16,False
2020-02-02,37,27,16,False
2020-02-09,34,84,17,False
2020-02-16,28,39,25,False
2020-02-23,27,27,32,False
2020-03-01,27,32,0,False
2020-03-08,15,25,15,False
2020-03-15,20,30,15,False
2020-03-22,37,54,22,False
2020-03-29,21,52,14,False
2020-04-05,24,64,16,False
2020-04-12,20,87,0,False
2020-04-19,36,56,23,False
2020-04-26,20,54,0,False
2020-05-03,30,56,15,False
2020-05-10,45,40,15,False
2020-05-17,16,56,16,False
2020-05-24,25,50,30,False
2020-05-31,48,35,21,False
2020-06-07,35,40,0,False
