date,Photovoltaik,Gärtner,Garten und Landschaftsbau,isPartial
2018-01-07,12,27,10,False
2018-01-14,17,28,10,False
2018-01-21,13,30,13,False
2018-01-28,18,31,9,False
2018-02-04,15,26,11,False
2018-02-11,15,24,8,False
2018-02-18,19,27,7,False
2018-02-25,25,25,10,False
2018-03-04,18,33,9,False
2018-03-11,22,25,10,False
2018-03-18,24,23,7,False
2018-03-25,18,52,10,False
2018-04-01,20,37,11,False
2018-04-08,19,37,12,False
2018-04-15,21,44,8,False
2018-04-22,15,42,8,False
2018-04-29,22,33,4,False
2018-05-06,18,38,10,False
2018-05-13,21,32,8,False
2018-05-20,24,26,5,False
2018-05-27,19,25,13,False
2018-06-03,19,34,9,False
2018-06-10,15,31,8,False
2018-06-17,23,23,6,False
2018-06-24,17,35,9,False
2018-07-01,18,27,7,False
2018-07-08,16,22,8,False
2018-07-15,24,29,10,False
2018-07-22,22,25,9,False
2018-07-29,20,28,10,False
2018-08-05,23,23,8,False
2018-08-12,22,29,8,False
2018-08-19,19,28,8,False
2018-08-26,17,28,13,False
2018-09-02,19,33,10,False
2018-09-09,17,32,8,False
2018-09-16,24,27,8,False
2018-09-23,22,29,10,False
2018-09-30,21,26,8,False
2018-10-07,22,27,9,False
2018-10-14,28,34,11,False
2018-10-21,23,26,8,False
2018-10-28,19,25,6,False
2018-11-04,24,22,8,False
2018-11-11,21,24,11,False
2018-11-18,22,21,7,False
2018-11-25,21,21,5,False
2018-12-02,22,21,4,False
2018-12-09,23,26,3,False
2018-12-16,15,22,4,False
2018-12-23,15,18,3,False
2018-12-30,29,24,4,False
2019-01-06,24,26,10,False
2019-01-13,18,23,7,False
2019-01-20,27,15,8,False
2019-01-27,24,24,9,False
2019-02-03,26,28,10,False
2019-02-10,26,27,11,False
2019-02-17,26,35,8,False
2019-02-24,27,34,8,False
2019-03-03,26,32,11,False
2019-03-10,23,32,9,False
2019-03-17,28,35,9,False
2019-03-24,32,36,18,False
2019-03-31,28,39,13,False
2019-04-07,30,39,10,False
2019-04-14,27,100,14,False
2019-04-21,30,37,11,False
2019-04-28,27,31,7,False
2019-05-05,30,32,9,False
2019-05-12,28,33,8,False
2019-05-19,31,36,10,False
2019-05-26,26,27,8,False
2019-06-02,36,31,9,False
2019-06-09,29,39,9,False
2019-06-16,28,25,11,False
2019-06-23,34,25,9,False
2019-06-30,35,35,8,False
2019-07-07,36,27,9,False
2019-07-14,34,26,6,False
2019-07-21,40,26,9,False
2019-07-28,35,31,10,False
2019-08-04,30,30,5,False
2019-08-11,45,29,7,False
2019-08-18,30,26,7,False
2019-08-25,37,35,11,False
2019-09-01,32,28,11,False
2019-09-08,30,26,11,False
2019-09-15,43,30,7,False
2019-09-22,43,25,7,False
2019-09-29,28,25,9,False
2019-10-06,33,27,10,False
2019-10-13,33,27,8,False
2019-10-20,32,22,8,False
2019-10-27,32,26,6,False
2019-11-03,33,26,8,False
2019-11-10,34,21,8,False
2019-11-17,33,34,7,False
2019-11-24,27,23,6,False
2019-12-01,29,27,8,False
2019-12-08,25,32,5,False
2019-12-15,27,18,6,False
2019-12-22,20,12,4,False
2019-12-29,29,24,4,False
2020-01-05,37,24,8,False
2020-01-12,35,31,9,False
2020-01-19,41,31,9,False
2020-01-26,38,25,9,False
2020-02-02,38,29,10,False
2020-02-09,41,25,12,False
2020-02-16,37,27,11,False
2020-02-23,32,26,9,False
2020-03-01,28,32,8,False
2020-03-08,26,32,5,False
2020-03-15,28,30,10,False
2020-03-22,29,37,9,False
2020-03-29,30,34,8,False
2020-04-05,26,42,11,False
2020-04-12,34,34,11,False
2020-04-19,33,42,12,False
2020-04-26,32,39,8,False
2020-05-03,31,34,9,False
2020-05-10,29,35,12,False
2020-05-17,34,32,9,False
2020-05-24,41,30,12,False
2020-05-31,39,31,11,False
2020-06-07,34,34,11,False
