date,paysagiste,store banne,panneau solaire,Gazon synthétique,pisciniste,isPartial
2018-01-07,34,17,17,0,0,False
2018-01-14,22,17,59,0,16,False
2018-01-21,34,0,28,0,17,False
2018-01-28,57,0,17,17,0,False
2018-02-04,43,25,28,17,34,False
2018-02-11,68,23,34,0,0,False
2018-02-18,34,17,26,17,0,False
2018-02-25,22,41,22,0,0,False
2018-03-04,33,33,33,17,0,False
2018-03-11,45,17,33,0,0,False
2018-03-18,35,35,26,17,17,False
2018-03-25,17,41,41,17,26,False
2018-04-01,36,36,18,18,18,False
2018-04-08,37,56,19,18,18,False
2018-04-15,40,100,40,20,39,False
2018-04-22,71,48,42,27,0,False
2018-04-29,35,47,18,26,17,False
2018-05-06,46,67,43,0,18,False
2018-05-13,61,35,46,0,17,False
2018-05-20,55,46,55,45,0,False
2018-05-27,41,47,18,18,26,False
2018-06-03,54,30,18,18,18,False
2018-06-10,29,23,35,0,17,False
2018-06-17,46,19,19,27,18,False
2018-06-24,27,64,46,0,18,False
2018-07-01,35,35,35,17,34,False
2018-07-08,37,50,19,0,37,False
2018-07-15,19,52,19,0,38,False
2018-07-22,30,20,20,0,19,False
2018-07-29,20,20,50,20,20,False
2018-08-05,41,60,20,0,40,False
2018-08-12,34,34,34,0,20,False
2018-08-19,32,32,19,0,19,False
2018-08-26,18,28,31,0,0,False
2018-09-02,28,19,38,19,18,False
2018-09-09,28,19,38,0,0,False
2018-09-16,18,0,37,0,0,False
2018-09-23,56,19,46,0,18,False
2018-09-30,25,0,19,0,0,False
2018-10-07,25,19,0,18,18,False
2018-10-14,45,19,38,0,0,False
2018-10-21,25,0,38,0,0,False
2018-10-28,18,18,18,0,0,False
2018-11-04,36,0,18,0,17,False
2018-11-11,16,0,27,0,16,False
2018-11-18,0,0,36,0,0,False
2018-11-25,35,0,24,0,18,False
2018-12-02,17,18,35,0,0,False
2018-12-09,18,0,27,0,0,False
2018-12-16,36,18,30,18,0,False
2018-12-23,32,0,19,19,0,False
2018-12-30,37,0,18,0,0,False
2019-01-06,35,17,26,0,0,False
2019-01-13,23,18,53,0,17,False
2019-01-20,17,17,56,0,17,False
2019-01-27,28,34,34,17,0,False
2019-02-03,17,17,52,0,0,False
2019-02-10,41,35,23,0,0,False
2019-02-17,43,28,19,0,18,False
2019-02-24,36,54,36,26,0,False
2019-03-03,46,23,35,0,17,False
2019-03-10,40,43,17,0,0,False
2019-03-17,36,49,30,0,18,False
2019-03-24,61,67,61,18,18,False
2019-03-31,59,35,61,0,0,False
2019-04-07,41,35,29,0,18,False
2019-04-14,62,28,31,56,0,False
2019-04-21,24,48,54,18,27,False
2019-04-28,26,51,26,17,17,False
2019-05-05,39,17,39,17,0,False
2019-05-12,29,44,23,0,0,False
2019-05-19,24,24,41,17,18,False
2019-05-26,42,48,24,18,18,False
2019-06-02,40,80,34,17,17,False
2019-06-09,17,33,58,17,16,False
2019-06-16,30,59,18,0,26,False
2019-06-23,27,72,30,18,24,False
2019-06-30,35,47,44,17,35,False
2019-07-07,24,53,30,0,17,False
2019-07-14,37,55,49,18,55,False
2019-07-21,29,25,32,0,19,False
2019-07-28,39,45,26,0,39,False
2019-08-04,33,19,19,19,0,False
2019-08-11,28,0,19,0,0,False
2019-08-18,25,19,19,0,0,False
2019-08-25,18,35,53,0,29,False
2019-09-01,34,26,46,0,0,False
2019-09-08,29,17,26,0,17,False
2019-09-15,46,29,41,17,34,False
2019-09-22,33,0,22,0,48,False
2019-09-29,25,17,22,0,16,False
2019-10-06,39,0,17,0,33,False
2019-10-13,38,17,25,0,0,False
2019-10-20,58,25,33,0,16,False
2019-10-27,37,0,0,0,0,False
2019-11-03,40,0,24,0,16,False
2019-11-10,24,16,43,0,0,False
2019-11-17,24,0,63,0,0,False
2019-11-24,15,15,31,0,15,False
2019-12-01,43,0,16,0,0,False
2019-12-08,16,0,39,0,0,False
2019-12-15,63,16,21,0,0,False
2019-12-22,16,0,16,16,0,False
2019-12-29,16,0,37,0,0,False
2020-01-05,31,0,31,0,0,False
2020-01-12,35,0,59,0,0,False
2020-01-19,51,15,47,15,15,False
2020-01-26,25,20,35,15,29,False
2020-02-02,46,0,20,0,0,False
2020-02-09,44,15,29,15,15,False
2020-02-16,45,20,22,20,0,False
2020-02-23,24,44,34,14,0,False
2020-03-01,24,15,39,0,14,False
2020-03-08,21,15,44,14,0,False
2020-03-15,17,39,39,0,0,False
2020-03-22,24,16,24,18,12,False
2020-03-29,37,25,12,12,12,False
2020-04-05,46,71,50,25,25,False
2020-04-12,29,63,25,13,25,False
2020-04-19,38,60,26,19,12,False
2020-04-26,28,24,16,23,12,False
2020-05-03,64,64,32,16,30,False
2020-05-10,25,42,34,0,12,False
2020-05-17,56,75,33,14,0,False
2020-05-24,55,69,14,20,27,False
2020-05-31,47,68,51,21,25,False
2020-06-07,47,47,26,13,13,False
2020-06-14,42,42,62,0,62,True
