geoName,geoCode,cuidar jardin,construir piscina,instalar paneles solares,instalar cesped,barbacoa para jardin
Andalusia,ES-AN,0,66,0,25,9
Aragon,ES-AR,0,0,0,0,0
Asturias,ES-AS,0,0,0,0,0
Balearic Islands,ES-IB,0,0,0,0,0
Basque Country,ES-PV,0,100,0,0,0
Canary Islands,ES-CN,0,100,0,0,0
Cantabria,ES-CB,0,0,0,0,0
Castile and León,ES-CL,0,50,0,50,0
Castile-La Mancha,ES-CM,0,100,0,0,0
Catalonia,ES-CT,0,61,0,27,12
Ceuta,ES-CE,0,0,0,0,0
Community of Madrid,ES-MD,0,65,7,15,13
Extremadura,ES-EX,0,0,0,0,0
Galicia,ES-GA,0,100,0,0,0
La Rioja,ES-RI,0,0,0,0,0
Melilla,ES-ML,0,0,0,0,0
Navarre,ES-NC,0,0,0,0,0
Region of Murcia,ES-MC,0,100,0,0,0
Valencian Community,ES-VC,0,65,0,35,0
