date,paysagiste,store banne,panneau solaire,Gazon synthétique,pisciniste
2018-01-07,0.2875,0.18125,0.33125,0.0,0.0
2018-01-14,0.3625,0.25625,0.44375,0.0,0.175
2018-01-21,0.2875,0.075,0.25,0.0,0.10625
2018-01-28,0.5625,0.15,0.2875,0.18125,0.0
2018-02-04,0.41875,0.15625,0.3625,0.10625,0.2125
2018-02-11,0.7,0.225,0.29375,0.0,0.08125
2018-02-18,0.5,0.34375,0.28125,0.10625,0.0
2018-02-25,0.2875,0.48125,0.2625,0.0,0.075
2018-03-04,0.5125,0.38125,0.31875,0.10625,0.075
2018-03-11,0.39375,0.18125,0.40625,0.15,0.075
2018-03-18,0.4125,0.3,0.55,0.2375,0.10625
2018-03-25,0.3625,0.25625,0.53125,0.10625,0.2375
2018-04-01,0.51875,0.4125,0.23125,0.1125,0.1125
2018-04-08,0.45,0.75625,0.30625,0.19375,0.275
2018-04-15,0.38125,0.9375,0.38125,0.29375,0.4125
2018-04-22,0.7125,0.78125,0.2625,0.24375,0.075
2018-04-29,0.29375,0.44375,0.26875,0.2375,0.10625
2018-05-06,0.41875,0.7125,0.425,0.11875,0.19375
2018-05-13,0.4875,0.49375,0.40625,0.0,0.18125
2018-05-20,0.50625,0.50625,0.4625,0.3625,0.08125
2018-05-27,0.4875,0.475,0.425,0.1875,0.2375
2018-06-03,0.53125,0.44375,0.26875,0.26875,0.1125
2018-06-10,0.33125,0.33125,0.44375,0.075,0.21875
2018-06-17,0.44375,0.25,0.33125,0.16875,0.26875
2018-06-24,0.325,0.6375,0.44375,0.08125,0.23125
2018-07-01,0.5,0.34375,0.39375,0.18125,0.2875
2018-07-08,0.51875,0.625,0.40625,0.08125,0.3125
2018-07-15,0.2,0.51875,0.325,0.0,0.31875
2018-07-22,0.40625,0.45625,0.25,0.0,0.25625
2018-07-29,0.20625,0.31875,0.475,0.25,0.2875
2018-08-05,0.55,0.66875,0.29375,0.08125,0.33125
2018-08-12,0.3875,0.3875,0.33125,0.0875,0.125
2018-08-19,0.3375,0.36875,0.2875,0.0,0.24375
2018-08-26,0.3,0.3375,0.38125,0.0,0.08125
2018-09-02,0.45,0.23125,0.375,0.28125,0.19375
2018-09-09,0.3625,0.2,0.4,0.0,0.0
2018-09-16,0.23125,0.08125,0.43125,0.0,0.0
2018-09-23,0.59375,0.25625,0.49375,0.10625,0.1125
2018-09-30,0.4,0.08125,0.28125,0.0,0.08125
2018-10-07,0.275,0.11875,0.1875,0.1125,0.1125
2018-10-14,0.475,0.2,0.375,0.0,0.0
2018-10-21,0.4875,0.0,0.3625,0.08125,0.08125
2018-10-28,0.2125,0.1125,0.26875,0.0,0.0
2018-11-04,0.35625,0.075,0.29375,0.0,0.10625
2018-11-11,0.3375,0.08125,0.25,0.08125,0.175
2018-11-18,0.20625,0.075,0.41875,0.0,0.0
2018-11-25,0.4125,0.075,0.225,0.075,0.1125
2018-12-02,0.2375,0.1875,0.375,0.0,0.0
2018-12-09,0.26875,0.075,0.40625,0.0,0.0
