geoName,geoCode,Photovoltaik,Gärtner,Garten und Landschaftsbau
Baden-Württemberg,DE-BW,48,47,5
Bavaria,DE-BY,48,46,6
Berlin,DE-BE,33,59,8
Brandenburg,DE-BB,33,60,7
Bremen,DE-HB,45,47,8
Hamburg,DE-HH,29,59,12
Hesse,DE-HE,36,54,10
Lower Saxony,DE-NI,38,53,9
Mecklenburg-Vorpommern,DE-MV,27,63,10
North Rhine-Westphalia,DE-NW,42,47,11
Rhineland-Palatinate,DE-RP,40,51,9
Saarland,DE-SL,38,55,7
Saxony,DE-SN,28,66,6
Saxony-Anhalt,DE-ST,32,60,8
Schleswig-Holstein,DE-SH,32,56,12
Thuringia,DE-TH,38,54,8
