date,paysagiste,store banne,panneau solaire,Gazon synthétique,pisciniste,isPartial
2018-01-07,29,12,33,0,0,False
2018-01-14,29,0,25,0,0,False
2018-01-21,41,12,24,0,0,False
2018-01-28,36,12,40,12,0,False
2018-02-04,24,12,20,0,12,False
2018-02-11,16,18,25,12,0,False
2018-02-18,25,25,29,13,0,False
2018-02-25,17,21,29,12,0,False
2018-03-04,21,0,21,0,13,False
2018-03-11,42,12,19,0,0,False
2018-03-18,62,12,17,0,0,False
2018-03-25,29,13,38,0,0,False
2018-04-01,25,25,21,13,12,False
2018-04-08,12,46,31,0,0,False
2018-04-15,40,58,40,22,13,False
2018-04-22,39,47,17,0,13,False
2018-04-29,19,17,13,0,13,False
2018-05-06,48,39,45,17,26,False
2018-05-13,38,21,25,25,13,False
2018-05-20,25,34,19,13,13,False
2018-05-27,25,29,37,25,12,False
2018-06-03,44,38,38,0,13,False
2018-06-10,42,12,20,0,12,False
2018-06-17,38,19,19,13,13,False
2018-06-24,34,45,13,0,13,False
2018-07-01,38,34,13,13,13,False
2018-07-08,22,48,35,13,13,False
2018-07-15,21,47,36,14,14,False
2018-07-22,28,50,28,14,14,False
2018-07-29,35,47,43,0,0,False
2018-08-05,19,29,19,15,0,False
2018-08-12,22,30,40,15,15,False
2018-08-19,43,19,29,0,15,False
2018-08-26,20,14,14,0,13,False
2018-09-02,31,13,13,0,0,False
2018-09-09,40,27,20,0,0,False
2018-09-16,35,13,39,0,13,False
2018-09-23,26,0,13,0,13,False
2018-09-30,35,0,35,0,0,False
2018-10-07,26,13,40,0,0,False
2018-10-14,22,13,41,0,0,False
2018-10-21,27,13,13,0,13,False
2018-10-28,13,26,13,0,0,False
2018-11-04,25,19,12,13,0,False
2018-11-11,13,19,19,0,0,False
2018-11-18,32,13,57,0,0,False
2018-11-25,25,0,25,0,12,False
2018-12-02,12,25,50,13,0,False
2018-12-09,19,0,19,0,0,False
2018-12-16,33,26,39,0,13,False
2018-12-23,0,0,23,0,0,False
2018-12-30,13,14,31,0,0,False
2019-01-06,19,0,38,13,0,False
2019-01-13,25,13,29,0,0,False
2019-01-20,48,12,42,12,0,False
2019-01-27,28,18,28,0,0,False
2019-02-03,38,13,37,0,12,False
2019-02-10,53,13,40,13,0,False
2019-02-17,40,13,20,13,0,False
2019-02-24,34,30,34,13,0,False
2019-03-03,12,18,28,12,0,False
2019-03-10,54,19,25,13,0,False
2019-03-17,43,20,52,13,0,False
2019-03-24,32,26,26,22,0,False
2019-03-31,30,43,43,13,0,False
2019-04-07,33,27,26,13,0,False
2019-04-14,27,20,32,23,14,False
2019-04-21,38,42,38,26,0,False
2019-04-28,20,20,37,12,12,False
2019-05-05,24,24,40,12,12,False
2019-05-12,26,39,0,0,13,False
2019-05-19,34,25,34,0,13,False
2019-05-26,37,25,25,0,12,False
2019-06-02,31,23,19,12,0,False
2019-06-09,24,24,36,0,18,False
2019-06-16,39,39,19,13,0,False
2019-06-23,76,72,29,25,13,False
2019-06-30,57,59,68,13,0,False
2019-07-07,22,35,74,26,13,False
2019-07-14,61,31,32,14,13,False
2019-07-21,32,41,41,21,14,False
2019-07-28,42,23,21,14,14,False
2019-08-04,21,28,62,29,14,False
2019-08-11,18,35,48,28,0,False
2019-08-18,56,28,19,0,0,False
2019-08-25,43,26,34,13,0,False
2019-09-01,33,21,21,13,12,False
2019-09-08,33,19,25,13,13,False
2019-09-15,29,12,50,0,12,False
2019-09-22,23,29,12,12,12,False
2019-09-29,27,0,35,0,12,False
2019-10-06,35,0,41,0,18,False
2019-10-13,23,0,23,0,0,False
2019-10-20,24,12,29,0,0,False
2019-10-27,19,17,26,0,0,False
2019-11-03,15,23,27,0,11,False
2019-11-10,17,0,33,0,0,False
2019-11-17,17,23,30,0,11,False
2019-11-24,0,0,22,0,0,False
2019-12-01,15,11,30,0,0,False
2019-12-08,36,11,58,22,0,False
2019-12-15,19,0,45,0,0,False
2019-12-22,24,12,28,12,0,False
2019-12-29,12,0,11,12,12,False
2020-01-05,32,11,40,11,0,False
2020-01-12,32,0,47,0,0,False
2020-01-19,26,11,18,0,0,False
2020-01-26,27,21,32,11,11,False
2020-02-02,28,21,25,11,0,False
2020-02-09,25,11,21,11,11,False
2020-02-16,18,22,18,0,0,False
2020-02-23,16,21,32,16,0,False
2020-03-01,24,25,20,10,0,False
2020-03-08,13,16,13,10,0,False
2020-03-15,12,9,23,18,9,False
2020-03-22,13,18,24,9,9,False
2020-03-29,32,23,15,9,9,False
2020-04-05,33,36,13,15,9,False
2020-04-12,34,60,40,18,9,False
2020-04-19,25,52,15,18,9,False
2020-04-26,11,39,25,8,8,False
2020-05-03,39,28,28,25,0,False
2020-05-10,30,24,33,9,9,False
2020-05-17,42,90,45,22,10,False
2020-05-24,44,100,47,19,23,False
2020-05-31,36,99,21,15,9,False
2020-06-07,24,34,28,9,15,False
2020-06-14,36,29,55,22,0,True
