date,paysagiste,store banne,panneau solaire,Gazon synthétique,pisciniste,isPartial
2018-01-07,30,13,29,4,4,False
2018-01-14,51,12,35,3,2,False
2018-01-21,55,10,26,4,4,False
2018-01-28,52,8,44,6,4,False
2018-02-04,42,11,30,4,3,False
2018-02-11,34,11,27,5,2,False
2018-02-18,43,8,39,7,5,False
2018-02-25,40,13,35,3,5,False
2018-03-04,50,18,34,3,9,False
2018-03-11,38,27,32,7,4,False
2018-03-18,52,14,32,9,2,False
2018-03-25,37,13,44,10,3,False
2018-04-01,40,20,37,18,2,False
2018-04-08,47,32,41,18,8,False
2018-04-15,45,47,38,24,8,False
2018-04-22,47,49,31,12,10,False
2018-04-29,40,27,19,14,6,False
2018-05-06,41,59,27,20,15,False
2018-05-13,35,31,38,5,9,False
2018-05-20,46,42,32,15,3,False
2018-05-27,30,38,41,13,6,False
2018-06-03,38,41,44,16,5,False
2018-06-10,49,24,21,12,5,False
2018-06-17,51,26,28,10,3,False
2018-06-24,49,42,34,13,8,False
2018-07-01,28,35,37,13,10,False
2018-07-08,37,28,27,10,9,False
2018-07-15,35,35,37,4,7,False
2018-07-22,38,47,52,17,15,False
2018-07-29,36,37,32,6,15,False
2018-08-05,31,34,25,13,17,False
2018-08-12,28,35,46,10,18,False
2018-08-19,41,24,31,6,12,False
2018-08-26,42,21,27,8,7,False
2018-09-02,40,21,38,14,9,False
2018-09-09,46,17,33,5,4,False
2018-09-16,43,10,35,10,5,False
2018-09-23,52,15,34,11,7,False
2018-09-30,34,13,34,6,6,False
2018-10-07,41,10,33,5,6,False
2018-10-14,41,7,41,5,6,False
2018-10-21,46,7,37,4,4,False
2018-10-28,21,12,32,5,0,False
2018-11-04,34,7,41,4,4,False
2018-11-11,40,9,32,5,4,False
2018-11-18,42,4,22,7,2,False
2018-11-25,35,4,39,2,5,False
2018-12-02,28,5,43,4,4,False
2018-12-09,24,4,30,4,4,False
2018-12-16,26,5,34,4,4,False
2018-12-23,27,5,29,3,3,False
2018-12-30,21,10,43,4,4,False
2019-01-06,30,13,30,4,5,False
2019-01-13,38,15,36,6,3,False
2019-01-20,35,8,26,0,2,False
2019-01-27,34,3,28,4,7,False
2019-02-03,36,15,54,4,9,False
2019-02-10,33,4,40,10,7,False
2019-02-17,47,17,51,16,10,False
2019-02-24,41,23,40,15,5,False
2019-03-03,37,13,40,14,6,False
2019-03-10,44,18,43,6,6,False
2019-03-17,56,31,44,11,4,False
2019-03-24,51,40,43,13,7,False
2019-03-31,51,39,29,17,2,False
2019-04-07,60,23,40,14,7,False
2019-04-14,53,42,44,12,7,False
2019-04-21,47,47,39,14,7,False
2019-04-28,43,25,40,14,6,False
2019-05-05,53,27,43,14,5,False
2019-05-12,44,22,45,13,4,False
2019-05-19,39,27,33,12,11,False
2019-05-26,48,28,32,14,12,False
2019-06-02,41,28,52,15,10,False
2019-06-09,38,34,43,12,6,False
2019-06-16,31,29,31,20,9,False
2019-06-23,51,53,44,18,16,False
2019-06-30,43,52,44,20,16,False
2019-07-07,44,39,44,14,15,False
2019-07-14,36,42,35,18,7,False
2019-07-21,47,36,51,9,8,False
2019-07-28,59,27,28,7,8,False
2019-08-04,38,28,31,10,10,False
2019-08-11,31,18,36,6,4,False
2019-08-18,31,25,45,7,7,False
2019-08-25,58,26,34,7,14,False
2019-09-01,38,18,34,9,10,False
2019-09-08,54,17,33,10,8,False
2019-09-15,48,14,32,2,7,False
2019-09-22,48,11,37,7,6,False
2019-09-29,50,17,33,6,3,False
2019-10-06,42,11,29,6,4,False
2019-10-13,36,8,42,2,0,False
2019-10-20,33,10,31,3,4,False
2019-10-27,45,7,33,6,7,False
2019-11-03,49,6,26,4,6,False
2019-11-10,36,9,18,4,2,False
2019-11-17,22,4,47,5,2,False
2019-11-24,33,10,32,8,5,False
2019-12-01,27,5,31,4,5,False
2019-12-08,38,5,23,4,6,False
2019-12-15,20,4,31,6,2,False
2019-12-22,23,0,36,0,3,False
2019-12-29,26,7,24,2,5,False
2020-01-05,47,8,29,4,2,False
2020-01-12,41,12,38,8,8,False
2020-01-19,45,14,40,0,2,False
2020-01-26,53,10,27,3,5,False
2020-02-02,39,12,29,8,5,False
2020-02-09,35,12,36,8,4,False
2020-02-16,53,16,28,8,3,False
2020-02-23,42,14,40,8,3,False
2020-03-01,35,20,37,9,5,False
2020-03-08,51,25,24,7,4,False
2020-03-15,26,9,25,11,2,False
2020-03-22,34,18,29,14,2,False
2020-03-29,22,14,25,12,2,False
2020-04-05,35,65,36,30,7,False
2020-04-12,47,57,43,39,7,False
2020-04-19,48,46,43,34,6,False
2020-04-26,41,45,35,24,4,False
2020-05-03,40,37,46,25,8,False
2020-05-10,56,40,40,17,15,False
2020-05-17,68,92,53,34,14,False
2020-05-24,67,100,45,48,28,False
2020-05-31,55,92,50,34,20,False
2020-06-07,55,56,48,23,11,False
2020-06-14,39,43,44,21,5,True
