date,paysagiste,store banne,panneau solaire,Gazon synthétique,pisciniste,isPartial
2018-01-07,33,12,15,0,5,False
2018-01-14,34,15,12,0,7,False
2018-01-21,39,15,21,4,7,False
2018-01-28,32,7,17,4,5,False
2018-02-04,38,4,16,4,4,False
2018-02-11,32,9,17,0,0,False
2018-02-18,54,18,23,5,5,False
2018-02-25,51,14,19,5,5,False
2018-03-04,44,26,16,9,5,False
2018-03-11,38,14,18,9,5,False
2018-03-18,62,28,26,5,9,False
2018-03-25,56,23,20,9,0,False
2018-04-01,41,31,16,9,0,False
2018-04-08,60,31,17,9,5,False
2018-04-15,61,48,19,6,5,False
2018-04-22,43,40,14,14,9,False
2018-04-29,39,40,15,5,5,False
2018-05-06,40,49,25,5,8,False
2018-05-13,49,41,24,5,12,False
2018-05-20,41,47,17,16,6,False
2018-05-27,33,38,23,5,8,False
2018-06-03,35,17,18,18,16,False
2018-06-10,41,20,25,7,9,False
2018-06-17,28,42,19,7,5,False
2018-06-24,44,39,17,5,7,False
2018-07-01,43,37,18,9,11,False
2018-07-08,38,39,11,9,10,False
2018-07-15,30,40,27,5,5,False
2018-07-22,36,33,20,10,10,False
2018-07-29,26,31,20,7,7,False
2018-08-05,46,35,22,5,10,False
2018-08-12,19,32,22,10,8,False
2018-08-19,36,15,15,8,7,False
2018-08-26,41,17,17,5,8,False
2018-09-02,50,8,8,5,12,False
2018-09-09,59,13,21,5,10,False
2018-09-16,44,16,25,5,5,False
2018-09-23,59,6,14,0,5,False
2018-09-30,31,13,28,5,12,False
2018-10-07,50,14,14,0,10,False
2018-10-14,34,17,15,0,5,False
2018-10-21,36,7,16,5,5,False
2018-10-28,50,6,24,0,5,False
2018-11-04,36,6,21,0,5,False
2018-11-11,29,9,15,0,4,False
2018-11-18,37,0,14,4,0,False
2018-11-25,35,4,28,0,0,False
2018-12-02,27,6,23,0,0,False
2018-12-09,22,4,21,4,0,False
2018-12-16,36,4,21,4,0,False
2018-12-23,22,5,18,0,0,False
2018-12-30,25,5,24,5,5,False
2019-01-06,38,6,25,0,4,False
2019-01-13,47,19,12,4,0,False
2019-01-20,33,9,22,4,9,False
2019-01-27,43,16,23,0,4,False
2019-02-03,58,15,23,4,7,False
2019-02-10,40,26,20,7,5,False
2019-02-17,54,17,25,0,5,False
2019-02-24,50,33,31,7,7,False
2019-03-03,48,26,21,13,11,False
2019-03-10,53,18,12,9,7,False
2019-03-17,43,20,26,0,9,False
2019-03-24,46,40,15,8,11,False
2019-03-31,51,49,25,8,5,False
2019-04-07,50,42,26,10,7,False
2019-04-14,39,49,11,5,5,False
2019-04-21,29,44,26,5,7,False
2019-04-28,39,33,27,9,9,False
2019-05-05,49,31,30,4,4,False
2019-05-12,53,23,26,8,6,False
2019-05-19,49,35,23,12,5,False
2019-05-26,37,26,23,16,8,False
2019-06-02,37,21,17,4,11,False
2019-06-09,32,26,18,7,0,False
2019-06-16,43,37,31,9,14,False
2019-06-23,25,36,25,15,16,False
2019-06-30,44,56,44,6,15,False
2019-07-07,27,52,39,12,8,False
2019-07-14,25,43,34,5,9,False
2019-07-21,31,42,31,7,14,False
2019-07-28,30,32,34,12,13,False
2019-08-04,29,30,24,9,10,False
2019-08-11,30,21,14,5,14,False
2019-08-18,36,13,20,5,9,False
2019-08-25,44,32,18,4,9,False
2019-09-01,50,10,15,13,12,False
2019-09-08,31,9,13,7,9,False
2019-09-15,59,16,19,4,9,False
2019-09-22,51,6,23,4,4,False
2019-09-29,51,6,22,0,6,False
2019-10-06,34,6,18,0,8,False
2019-10-13,47,8,22,0,4,False
2019-10-20,37,17,22,4,6,False
2019-10-27,25,7,29,4,4,False
2019-11-03,53,4,20,4,4,False
2019-11-10,47,5,23,4,4,False
2019-11-17,32,4,38,4,4,False
2019-11-24,45,8,30,0,6,False
2019-12-01,36,6,24,4,12,False
2019-12-08,30,4,18,0,4,False
2019-12-15,29,6,19,4,4,False
2019-12-22,10,9,25,0,0,False
2019-12-29,14,4,26,4,7,False
2020-01-05,34,9,17,4,8,False
2020-01-12,40,16,30,4,8,False
2020-01-19,47,10,29,6,8,False
2020-01-26,41,12,32,4,4,False
2020-02-02,56,12,23,4,4,False
2020-02-09,59,13,15,4,4,False
2020-02-16,68,15,20,4,4,False
2020-02-23,50,13,28,4,4,False
2020-03-01,49,26,24,0,7,False
2020-03-08,47,17,25,7,11,False
2020-03-15,32,8,20,3,7,False
2020-03-22,36,19,15,10,4,False
2020-03-29,30,15,23,6,5,False
2020-04-05,28,53,20,7,3,False
2020-04-12,60,54,24,19,12,False
2020-04-19,38,51,23,10,9,False
2020-04-26,48,29,22,12,9,False
2020-05-03,45,37,24,10,9,False
2020-05-10,50,40,26,12,10,False
2020-05-17,65,100,36,21,17,False
2020-05-24,51,86,26,22,26,False
2020-05-31,59,92,28,20,27,False
2020-06-07,55,50,24,16,10,False
2020-06-14,33,38,41,11,12,True
