date,Photovoltaik,Gärtner,Garten und Landschaftsbau,isPartial
2018-01-07,26,48,14,False
2018-01-14,31,31,14,False
2018-01-21,36,22,14,False
2018-01-28,34,34,11,False
2018-02-04,20,40,7,False
2018-02-11,35,32,7,False
2018-02-18,35,32,7,False
2018-02-25,22,27,11,False
2018-03-04,34,20,17,False
2018-03-11,45,25,12,False
2018-03-18,32,42,7,False
2018-03-25,31,63,12,False
2018-04-01,50,40,8,False
2018-04-08,46,52,23,False
2018-04-15,51,63,27,False
2018-04-22,38,58,8,False
2018-04-29,31,54,15,False
2018-05-06,46,39,8,False
2018-05-13,43,43,15,False
2018-05-20,43,28,13,False
2018-05-27,18,41,15,False
2018-06-03,36,41,8,False
2018-06-10,39,39,11,False
2018-06-17,20,53,8,False
2018-06-24,44,36,8,False
2018-07-01,34,31,16,False
2018-07-08,38,23,19,False
2018-07-15,21,29,12,False
2018-07-22,39,21,13,False
2018-07-29,27,32,15,False
2018-08-05,39,32,7,False
2018-08-12,30,22,11,False
2018-08-19,37,37,7,False
2018-08-26,37,57,7,False
2018-09-02,25,48,8,False
2018-09-09,40,50,7,False
2018-09-16,32,37,15,False
2018-09-23,30,38,11,False
2018-09-30,29,34,8,False
2018-10-07,36,49,16,False
2018-10-14,40,43,13,False
2018-10-21,32,24,7,False
2018-10-28,27,29,7,False
2018-11-04,55,33,7,False
2018-11-11,34,29,15,False
2018-11-18,28,23,7,False
2018-11-25,36,33,7,False
2018-12-02,40,24,7,False
2018-12-09,43,24,7,False
2018-12-16,37,22,7,False
2018-12-23,21,26,8,False
2018-12-30,22,22,10,False
2019-01-06,25,34,11,False
2019-01-13,41,25,20,False
2019-01-20,29,36,9,False
2019-01-27,54,29,14,False
2019-02-03,25,20,14,False
2019-02-10,44,42,14,False
2019-02-17,40,40,14,False
2019-02-24,47,27,15,False
2019-03-03,33,49,14,False
2019-03-10,32,37,24,False
2019-03-17,55,43,10,False
2019-03-24,46,36,11,False
2019-03-31,51,51,7,False
2019-04-07,36,71,12,False
2019-04-14,50,100,18,False
2019-04-21,49,49,15,False
2019-04-28,53,41,11,False
2019-05-05,39,50,7,False
2019-05-12,22,41,29,False
2019-05-19,33,33,14,False
2019-05-26,31,31,7,False
2019-06-02,35,28,18,False
2019-06-09,49,61,9,False
2019-06-16,50,41,7,False
2019-06-23,48,22,7,False
2019-06-30,64,37,7,False
2019-07-07,65,41,19,False
2019-07-14,58,38,10,False
2019-07-21,51,23,8,False
2019-07-28,53,20,23,False
2019-08-04,36,44,11,False
2019-08-11,37,36,10,False
2019-08-18,52,54,12,False
2019-08-25,33,53,19,False
2019-09-01,55,44,18,False
2019-09-08,73,39,7,False
2019-09-15,41,46,14,False
2019-09-22,71,30,7,False
2019-09-29,42,35,14,False
2019-10-06,66,37,14,False
2019-10-13,49,25,7,False
2019-10-20,58,25,7,False
2019-10-27,48,24,6,False
2019-11-03,58,30,13,False
2019-11-10,52,35,16,False
2019-11-17,45,35,13,False
2019-11-24,36,34,0,False
2019-12-01,51,24,13,False
2019-12-08,37,35,7,False
2019-12-15,29,31,10,False
2019-12-22,55,26,7,False
2019-12-29,54,29,10,False
2020-01-05,54,33,17,False
2020-01-12,63,24,10,False
2020-01-19,54,31,13,False
2020-01-26,55,33,15,False
2020-02-02,47,24,6,False
2020-02-09,64,42,12,False
2020-02-16,52,35,10,False
2020-02-23,50,42,12,False
2020-03-01,46,36,15,False
2020-03-08,39,41,14,False
2020-03-15,36,59,11,False
2020-03-22,47,70,10,False
2020-03-29,43,69,10,False
2020-04-05,44,85,10,False
2020-04-12,35,84,16,False
2020-04-19,56,74,13,False
2020-04-26,59,42,18,False
2020-05-03,45,59,9,False
2020-05-10,51,65,18,False
2020-05-17,69,51,14,False
2020-05-24,63,48,15,False
2020-05-31,37,60,11,False
2020-06-07,71,35,12,False
