date,paysagiste,store banne,panneau solaire,Gazon synthétique,pisciniste,isPartial
2018-01-07,25,21,16,8,0,False
2018-01-14,24,8,24,0,12,False
2018-01-21,27,12,48,8,8,False
2018-01-28,19,8,27,0,16,False
2018-02-04,27,8,16,8,8,False
2018-02-11,21,16,28,16,16,False
2018-02-18,31,14,46,8,21,False
2018-02-25,47,8,31,17,12,False
2018-03-04,19,12,43,12,0,False
2018-03-11,33,11,22,14,8,False
2018-03-18,33,12,30,20,8,False
2018-03-25,28,19,28,8,11,False
2018-04-01,37,37,34,11,9,False
2018-04-08,33,29,49,16,16,False
2018-04-15,36,52,24,30,24,False
2018-04-22,35,35,32,20,13,False
2018-04-29,33,44,41,11,12,False
2018-05-06,29,40,20,22,13,False
2018-05-13,42,14,42,8,17,False
2018-05-20,29,41,32,14,17,False
2018-05-27,25,22,25,25,25,False
2018-06-03,14,22,31,17,25,False
2018-06-10,26,24,32,12,20,False
2018-06-17,23,38,32,9,17,False
2018-06-24,29,46,46,20,22,False
2018-07-01,34,22,28,17,25,False
2018-07-08,15,32,18,9,26,False
2018-07-15,36,39,30,15,18,False
2018-07-22,27,18,15,9,18,False
2018-07-29,24,40,34,9,9,False
2018-08-05,33,14,33,18,12,False
2018-08-12,16,22,28,14,0,False
2018-08-19,28,24,28,12,21,False
2018-08-26,42,13,27,13,18,False
2018-09-02,38,13,39,13,22,False
2018-09-09,32,12,32,9,0,False
2018-09-16,26,9,26,9,14,False
2018-09-23,26,17,41,9,17,False
2018-09-30,35,9,29,0,13,False
2018-10-07,21,8,57,0,8,False
2018-10-14,13,9,32,8,9,False
2018-10-21,27,13,36,9,0,False
2018-10-28,17,9,32,9,9,False
2018-11-04,19,8,31,0,8,False
2018-11-11,20,9,37,0,8,False
2018-11-18,17,17,53,8,8,False
2018-11-25,25,8,47,0,8,False
2018-12-02,25,12,55,8,8,False
2018-12-09,8,0,22,8,0,False
2018-12-16,23,9,32,0,0,False
2018-12-23,20,10,36,10,0,False
2018-12-30,15,37,43,0,14,False
2019-01-06,22,17,33,8,16,False
2019-01-13,36,12,33,8,16,False
2019-01-20,21,8,19,8,16,False
2019-01-27,21,8,34,0,0,False
2019-02-03,19,12,38,8,16,False
2019-02-10,30,11,44,19,16,False
2019-02-17,34,17,37,13,8,False
2019-02-24,23,26,29,32,13,False
2019-03-03,32,26,37,14,17,False
2019-03-10,42,25,39,25,17,False
2019-03-17,42,40,51,17,14,False
2019-03-24,41,55,45,27,8,False
2019-03-31,37,27,62,19,16,False
2019-04-07,22,16,52,19,24,False
2019-04-14,20,28,31,11,8,False
2019-04-21,21,16,37,16,20,False
2019-04-28,20,58,29,23,13,False
2019-05-05,22,35,44,22,8,False
2019-05-12,33,19,41,8,16,False
2019-05-19,26,26,58,8,0,False
2019-05-26,33,38,49,27,16,False
2019-06-02,24,63,32,18,13,False
2019-06-09,28,33,44,30,19,False
2019-06-16,16,42,40,34,21,False
2019-06-23,32,48,43,29,21,False
2019-06-30,33,36,41,33,16,False
2019-07-07,27,24,27,16,24,False
2019-07-14,31,28,39,22,22,False
2019-07-21,29,29,37,21,21,False
2019-07-28,23,23,51,17,17,False
2019-08-04,27,37,16,20,20,False
2019-08-11,27,20,35,7,12,False
2019-08-18,26,21,31,8,12,False
2019-08-25,16,27,38,11,11,False
2019-09-01,19,16,32,11,16,False
2019-09-08,52,15,12,11,15,False
2019-09-15,35,11,33,12,7,False
2019-09-22,30,15,23,17,19,False
2019-09-29,24,14,27,7,14,False
2019-10-06,31,7,38,0,7,False
2019-10-13,15,10,40,7,7,False
2019-10-20,9,14,36,17,7,False
2019-10-27,24,7,35,9,7,False
2019-11-03,36,7,44,7,7,False
2019-11-10,30,14,44,0,0,False
2019-11-17,13,10,20,6,6,False
2019-11-24,19,6,31,9,6,False
2019-12-01,23,6,23,12,6,False
2019-12-08,25,6,27,6,6,False
2019-12-15,15,13,30,13,0,False
2019-12-22,24,14,34,7,7,False
2019-12-29,14,9,49,14,0,False
2020-01-05,34,9,41,6,9,False
2020-01-12,28,12,30,6,6,False
2020-01-19,29,12,23,8,15,False
2020-01-26,31,12,41,6,12,False
2020-02-02,34,16,45,16,6,False
2020-02-09,32,13,54,6,13,False
2020-02-16,24,24,45,11,19,False
2020-02-23,29,22,39,14,12,False
2020-03-01,25,23,42,17,15,False
2020-03-08,34,20,48,16,12,False
2020-03-15,20,24,30,25,6,False
2020-03-22,25,16,31,14,7,False
2020-03-29,13,27,37,9,16,False
2020-04-05,24,24,30,39,11,False
2020-04-12,30,39,42,29,19,False
2020-04-19,24,26,49,24,19,False
2020-04-26,26,29,44,17,13,False
2020-05-03,39,64,43,26,33,False
2020-05-10,20,38,34,37,9,False
2020-05-17,44,100,46,50,26,False
2020-05-24,43,82,43,62,33,False
2020-05-31,36,93,40,27,25,False
2020-06-07,28,30,43,19,15,False
2020-06-14,27,68,40,49,27,True
