geoName,geoCode,paysagiste
Brittany,FR-E,100.0
Centre-Val de Loire,FR-F,53.0
Corsica,FR-H,37.0
Pays de la Loire,FR-R,88.0
Provence-Alpes-Côte d'Azur,FR-U,30.0
Île-de-France,FR-J,32.0
Grand-est,FR-GE,59.0
Hauts-de-france,FR-HF,36.0
Normandie,FR-NO,52.5
Bourgogne-Franche-Comté,FR-BFC,70.0
Nouvelle-Aquitaine,FR-NA,63.333333333333336
Occitanie,FR-OC,38.0
Auvergne-Rhône-Alpes,FR-AR,51.0
