Year,ticket_geo_region_name,Location_type,Distribution
2018,Baden-Württemberg,hochzeit hotel,0.32
2018,Baden-Württemberg,hochzeit schloss,0.53
2018,Baden-Württemberg,hochzeit villa,0.15
2018,Bayern,hochzeit hotel,0.35
2018,Bayern,hochzeit schloss,0.56
2018,Bayern,hochzeit villa,0.09
2018,Berlin,hochzeit hotel,0.42
2018,Berlin,hochzeit schloss,0.44
2018,Berlin,hochzeit villa,0.14
2018,Brandenburg,hochzeit hotel,0.34
2018,Brandenburg,hochzeit schloss,0.66
2018,Brandenburg,hochzeit villa,0.0
2018,Bremen,hochzeit hotel,0.0
2018,Bremen,hochzeit schloss,0.0
2018,Bremen,hochzeit villa,0.0
2018,Deutschland,hochzeit hotel,0.35
2018,Deutschland,hochzeit schloss,0.55
2018,Deutschland,hochzeit villa,0.1
2018,Hamburg,hochzeit hotel,0.5
2018,Hamburg,hochzeit schloss,0.5
2018,Hamburg,hochzeit villa,0.0
2018,Hessen,hochzeit hotel,0.33
2018,Hessen,hochzeit schloss,0.46
2018,Hessen,hochzeit villa,0.22
2018,Niedersachsen,hochzeit hotel,0.49
2018,Niedersachsen,hochzeit schloss,0.51
2018,Niedersachsen,hochzeit villa,0.0
2018,Mecklenburg-Vorpommern,hochzeit hotel,0.39
2018,Mecklenburg-Vorpommern,hochzeit schloss,0.61
2018,Mecklenburg-Vorpommern,hochzeit villa,0.0
2018,Nordrhein-Westfalen,hochzeit hotel,0.3
2018,Nordrhein-Westfalen,hochzeit schloss,0.56
2018,Nordrhein-Westfalen,hochzeit villa,0.13
2018,Rheinland-Pfalz,hochzeit hotel,0.38
2018,Rheinland-Pfalz,hochzeit schloss,0.48
2018,Rheinland-Pfalz,hochzeit villa,0.15
2018,Saarland,hochzeit hotel,0.0
2018,Saarland,hochzeit schloss,1.0
2018,Saarland,hochzeit villa,0.0
2018,Sachsen,hochzeit hotel,0.32
2018,Sachsen,hochzeit schloss,0.51
2018,Sachsen,hochzeit villa,0.17
2018,Sachsen-Anhalt,hochzeit hotel,0.33
2018,Sachsen-Anhalt,hochzeit schloss,0.67
