geoName,geoCode,Altreifenentsorgung
Baden-Württemberg,DE-BW,37
Bavaria,DE-BY,58
Berlin,DE-BE,39
Brandenburg,DE-BB,68
Bremen,DE-HB,0
Hamburg,DE-HH,37
Hesse,DE-HE,36
Lower Saxony,DE-NI,22
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,45
Rhineland-Palatinate,DE-RP,64
Saarland,DE-SL,0
Saxony,DE-SN,74
Saxony-Anhalt,DE-ST,67
Schleswig-Holstein,DE-SH,59
Thuringia,DE-TH,100
