geoName,geoCode,abiti eleganti
Abruzzo,IT-65,59
Aosta,IT-23,0
Apulia,IT-75,59
Basilicata,IT-77,100
Calabria,IT-78,62
Campania,IT-72,53
Emilia-Romagna,IT-45,27
Friuli-Venezia Giulia,IT-36,35
Lazio,IT-62,40
Liguria,IT-42,36
Lombardy,IT-25,35
Marche,IT-57,37
Molise,IT-67,56
Piedmont,IT-21,23
Sardinia,IT-88,47
Sicily,IT-82,85
Trentino-Alto Adige/South Tyrol,IT-32,32
Tuscany,IT-52,32
Umbria,IT-55,43
Veneto,IT-34,37
