geoName,geoCode,Sanierung
Burgenland,AT-1,62
Carinthia,AT-2,100
Lower Austria,AT-3,50
Salzburg,AT-5,80
Styria,AT-6,71
Tyrol,AT-7,91
Upper Austria,AT-4,88
Vienna,AT-9,85
Vorarlberg,AT-8,77
