geoName,geoCode,Dachfenster
Burgenland,AT-1,57
Carinthia,AT-2,92
Lower Austria,AT-3,100
Salzburg,AT-5,62
Styria,AT-6,71
Tyrol,AT-7,56
Upper Austria,AT-4,78
Vienna,AT-9,76
Vorarlberg,AT-8,46
