date,Granit Arbeitsplatte,isPartial
2018-01-07,63,False
2018-01-14,68,False
2018-01-21,84,False
2018-01-28,63,False
2018-02-04,54,False
2018-02-11,59,False
2018-02-18,91,False
2018-02-25,85,False
2018-03-04,53,False
2018-03-11,64,False
2018-03-18,21,False
2018-03-25,68,False
2018-04-01,57,False
2018-04-08,60,False
2018-04-15,62,False
2018-04-22,48,False
2018-04-29,22,False
2018-05-06,28,False
2018-05-13,59,False
2018-05-20,51,False
2018-05-27,44,False
2018-06-03,75,False
2018-06-10,31,False
2018-06-17,32,False
2018-06-24,43,False
2018-07-01,43,False
2018-07-08,27,False
2018-07-15,50,False
2018-07-22,44,False
2018-07-29,100,False
2018-08-05,44,False
2018-08-12,17,False
2018-08-19,71,False
2018-08-26,33,False
2018-09-02,81,False
2018-09-09,16,False
2018-09-16,32,False
2018-09-23,43,False
2018-09-30,54,False
2018-10-07,59,False
2018-10-14,38,False
2018-10-21,63,False
2018-10-28,52,False
2018-11-04,36,False
2018-11-11,37,False
2018-11-18,45,False
2018-11-25,42,False
2018-12-02,57,False
2018-12-09,57,False
2018-12-16,48,False
2018-12-23,62,False
2018-12-30,88,False
2019-01-06,79,False
2019-01-13,44,False
2019-01-20,34,False
2019-01-27,44,False
2019-02-03,100,False
2019-02-10,96,False
2019-02-17,51,False
2019-02-24,88,False
2019-03-03,55,False
2019-03-10,64,False
2019-03-17,57,False
2019-03-24,36,False
2019-03-31,93,False
2019-04-07,56,False
2019-04-14,67,False
2019-04-21,27,False
2019-04-28,71,False
2019-05-05,49,False
2019-05-12,46,False
2019-05-19,30,False
2019-05-26,57,False
2019-06-02,25,False
2019-06-09,52,False
2019-06-16,57,False
2019-06-23,31,False
2019-06-30,61,False
2019-07-07,56,False
2019-07-14,47,False
2019-07-21,50,False
2019-07-28,37,False
2019-08-04,59,False
2019-08-11,31,False
2019-08-18,63,False
2019-08-25,62,False
2019-09-01,30,False
2019-09-08,56,False
2019-09-15,46,False
2019-09-22,69,False
2019-09-29,75,False
2019-10-06,69,False
2019-10-13,63,False
2019-10-20,63,False
2019-10-27,58,False
2019-11-03,42,False
2019-11-10,89,False
2019-11-17,52,False
2019-11-24,74,False
2019-12-01,62,False
2019-12-08,57,False
2019-12-15,48,False
2019-12-22,22,False
2019-12-29,67,False
2020-01-05,68,False
2020-01-12,44,False
2020-01-19,49,False
2020-01-26,94,False
2020-02-02,54,False
2020-02-09,66,False
2020-02-16,59,False
2020-02-23,53,False
2020-03-01,79,False
2020-03-08,50,False
2020-03-15,36,False
2020-03-22,32,False
2020-03-29,64,False
2020-04-05,44,False
2020-04-12,59,False
2020-04-19,33,False
2020-04-26,80,False
2020-05-03,98,False
2020-05-10,65,False
