geoName,geoCode,Facility Management
Baden-Württemberg,DE-BW,59
Bavaria,DE-BY,50
Berlin,DE-BE,100
Brandenburg,DE-BB,79
Bremen,DE-HB,71
Hamburg,DE-HH,61
Hesse,DE-HE,69
Lower Saxony,DE-NI,41
Mecklenburg-Vorpommern,DE-MV,51
North Rhine-Westphalia,DE-NW,53
Rhineland-Palatinate,DE-RP,32
Saarland,DE-SL,82
Saxony,DE-SN,67
Saxony-Anhalt,DE-ST,34
Schleswig-Holstein,DE-SH,38
Thuringia,DE-TH,48
