date,Facility Management,isPartial
2018-01-07,45,False
2018-01-14,49,False
2018-01-21,66,False
2018-01-28,45,False
2018-02-04,43,False
2018-02-11,51,False
2018-02-18,51,False
2018-02-25,62,False
2018-03-04,51,False
2018-03-11,34,False
2018-03-18,69,False
2018-03-25,42,False
2018-04-01,49,False
2018-04-08,47,False
2018-04-15,36,False
2018-04-22,44,False
2018-04-29,36,False
2018-05-06,37,False
2018-05-13,52,False
2018-05-20,51,False
2018-05-27,44,False
2018-06-03,47,False
2018-06-10,62,False
2018-06-17,63,False
2018-06-24,17,False
2018-07-01,39,False
2018-07-08,46,False
2018-07-15,64,False
2018-07-22,47,False
2018-07-29,49,False
2018-08-05,37,False
2018-08-12,64,False
2018-08-19,29,False
2018-08-26,38,False
2018-09-02,36,False
2018-09-09,100,False
2018-09-16,47,False
2018-09-23,35,False
2018-09-30,44,False
2018-10-07,46,False
2018-10-14,91,False
2018-10-21,67,False
2018-10-28,79,False
2018-11-04,27,False
2018-11-11,83,False
2018-11-18,48,False
2018-11-25,90,False
2018-12-02,38,False
2018-12-09,44,False
2018-12-16,68,False
2018-12-23,20,False
2018-12-30,18,False
2019-01-06,79,False
2019-01-13,47,False
2019-01-20,93,False
2019-01-27,67,False
2019-02-03,57,False
2019-02-10,85,False
2019-02-17,92,False
2019-02-24,82,False
2019-03-03,60,False
2019-03-10,52,False
2019-03-17,82,False
2019-03-24,32,False
2019-03-31,64,False
2019-04-07,64,False
2019-04-14,35,False
2019-04-21,51,False
2019-04-28,54,False
2019-05-05,52,False
2019-05-12,54,False
2019-05-19,86,False
2019-05-26,38,False
2019-06-02,38,False
2019-06-09,23,False
2019-06-16,51,False
2019-06-23,49,False
2019-06-30,48,False
2019-07-07,83,False
2019-07-14,54,False
2019-07-21,56,False
2019-07-28,46,False
2019-08-04,48,False
2019-08-11,63,False
2019-08-18,41,False
2019-08-25,60,False
2019-09-01,67,False
2019-09-08,43,False
2019-09-15,38,False
2019-09-22,56,False
2019-09-29,56,False
2019-10-06,26,False
2019-10-13,46,False
2019-10-20,51,False
2019-10-27,26,False
2019-11-03,59,False
2019-11-10,85,False
2019-11-17,65,False
2019-11-24,63,False
2019-12-01,61,False
2019-12-08,45,False
2019-12-15,67,False
2019-12-22,41,False
2019-12-29,34,False
2020-01-05,29,False
2020-01-12,52,False
2020-01-19,62,False
2020-01-26,70,False
2020-02-02,33,False
2020-02-09,47,False
2020-02-16,30,False
2020-02-23,62,False
2020-03-01,23,False
2020-03-08,52,False
2020-03-15,38,False
2020-03-22,44,False
2020-03-29,19,False
2020-04-05,19,False
2020-04-12,31,False
2020-04-19,47,False
2020-04-26,38,False
2020-05-03,38,False
2020-05-10,30,False
