geoName,geoCode,torta compleanno
Abruzzo,IT-65,66
Aosta,IT-23,62
Apulia,IT-75,78
Basilicata,IT-77,89
Calabria,IT-78,100
Campania,IT-72,52
Emilia-Romagna,IT-45,45
Friuli-Venezia Giulia,IT-36,42
Lazio,IT-62,47
Liguria,IT-42,59
Lombardy,IT-25,38
Marche,IT-57,49
Molise,IT-67,50
Piedmont,IT-21,47
Sardinia,IT-88,53
Sicily,IT-82,78
Trentino-Alto Adige/South Tyrol,IT-32,33
Tuscany,IT-52,37
Umbria,IT-55,45
Veneto,IT-34,40
