geoName,geoCode,Hochzeitsmusik
Baden-Württemberg,DE-BW,21
Bavaria,DE-BY,37
Berlin,DE-BE,17
Brandenburg,DE-BB,0
Bremen,DE-HB,0
Hamburg,DE-HH,0
Hesse,DE-HE,21
Lower Saxony,DE-NI,14
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,26
Rhineland-Palatinate,DE-RP,43
Saarland,DE-SL,0
Saxony,DE-SN,78
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,0
Thuringia,DE-TH,100
