geoName,geoCode,Einbruch
Burgenland,AT-1,93
Carinthia,AT-2,100
Lower Austria,AT-3,68
Salzburg,AT-5,100
Styria,AT-6,83
Tyrol,AT-7,28
Upper Austria,AT-4,84
Vienna,AT-9,74
Vorarlberg,AT-8,42
