geoName,geoCode,addio celibato
Abruzzo,IT-65,45
Aosta,IT-23,0
Apulia,IT-75,39
Basilicata,IT-77,0
Calabria,IT-78,19
Campania,IT-72,32
Emilia-Romagna,IT-45,48
Friuli-Venezia Giulia,IT-36,0
Lazio,IT-62,41
Liguria,IT-42,69
Lombardy,IT-25,61
Marche,IT-57,61
Molise,IT-67,0
Piedmont,IT-21,75
Sardinia,IT-88,27
Sicily,IT-82,41
Trentino-Alto Adige/South Tyrol,IT-32,25
Tuscany,IT-52,27
Umbria,IT-55,100
Veneto,IT-34,51
