,geoName,piscine en bois rectangulaire
3,Brittany,0.0
5,Centre-Val de Loire,0.0
7,Corsica,0.0
15,Pays de la Loire,53.48837209302325
18,Provence-Alpes-Côte d'Azur,100.0
21,Île-de-France,27.906976744186046
22,Grand-est,77.51937984496125
23,Hauts-de-france,46.51162790697674
24,Normandie,0.0
25,Bourgogne-Franche-Comté,0.0
26,Nouvelle-Aquitaine,24.8062015503876
27,Occitanie,80.23255813953489
28,Auvergne-Rhône-Alpes,43.02325581395349
