date,idee per matrimonio,isPartial
2018-01-07,32,False
2018-01-14,51,False
2018-01-21,51,False
2018-01-28,51,False
2018-02-04,35,False
2018-02-11,36,False
2018-02-18,40,False
2018-02-25,54,False
2018-03-04,35,False
2018-03-11,35,False
2018-03-18,46,False
2018-03-25,21,False
2018-04-01,50,False
2018-04-08,87,False
2018-04-15,57,False
2018-04-22,43,False
2018-04-29,73,False
2018-05-06,72,False
2018-05-13,97,False
2018-05-20,62,False
2018-05-27,57,False
2018-06-03,73,False
2018-06-10,79,False
2018-06-17,97,False
2018-06-24,47,False
2018-07-01,67,False
2018-07-08,76,False
2018-07-15,84,False
2018-07-22,52,False
2018-07-29,43,False
2018-08-05,66,False
2018-08-12,34,False
2018-08-19,34,False
2018-08-26,100,False
2018-09-02,70,False
2018-09-09,70,False
2018-09-16,84,False
2018-09-23,61,False
2018-09-30,50,False
2018-10-07,41,False
2018-10-14,26,False
2018-10-21,31,False
2018-10-28,35,False
2018-11-04,24,False
2018-11-11,20,False
2018-11-18,40,False
2018-11-25,46,False
2018-12-02,21,False
2018-12-09,10,False
2018-12-16,27,False
2018-12-23,37,False
2018-12-30,22,False
2019-01-06,15,False
2019-01-13,60,False
2019-01-20,19,False
2019-01-27,38,False
2019-02-03,68,False
2019-02-10,54,False
2019-02-17,30,False
2019-02-24,25,False
2019-03-03,47,False
2019-03-10,45,False
2019-03-17,36,False
2019-03-24,56,False
2019-03-31,21,False
2019-04-07,30,False
2019-04-14,21,False
2019-04-21,43,False
2019-04-28,46,False
2019-05-05,64,False
2019-05-12,68,False
2019-05-19,63,False
2019-05-26,38,False
2019-06-02,95,False
2019-06-09,66,False
2019-06-16,46,False
2019-06-23,52,False
2019-06-30,57,False
2019-07-07,50,False
2019-07-14,62,False
2019-07-21,42,False
2019-07-28,79,False
2019-08-04,33,False
2019-08-11,12,False
2019-08-18,54,False
2019-08-25,59,False
2019-09-01,47,False
2019-09-08,68,False
2019-09-15,90,False
2019-09-22,70,False
2019-09-29,52,False
2019-10-06,34,False
2019-10-13,24,False
2019-10-20,28,False
2019-10-27,46,False
2019-11-03,23,False
2019-11-10,18,False
2019-11-17,18,False
2019-11-24,9,False
2019-12-01,29,False
2019-12-08,29,False
2019-12-15,19,False
2019-12-22,45,False
2019-12-29,21,False
2020-01-05,19,False
2020-01-12,35,False
2020-01-19,49,False
2020-01-26,52,False
2020-02-02,35,False
2020-02-09,27,False
2020-02-16,22,False
2020-02-23,13,False
2020-03-01,25,False
2020-03-08,16,False
2020-03-15,16,False
2020-03-22,19,False
2020-03-29,16,False
2020-04-05,20,False
2020-04-12,8,False
2020-04-19,23,False
2020-04-26,20,True
