date,costurera,isPartial
2018-01-07,43,False
2018-01-14,69,False
2018-01-21,17,False
2018-01-28,60,False
2018-02-04,25,False
2018-02-11,68,False
2018-02-18,25,False
2018-02-25,49,False
2018-03-04,42,False
2018-03-11,25,False
2018-03-18,34,False
2018-03-25,85,False
2018-04-01,69,False
2018-04-08,40,False
2018-04-15,60,False
2018-04-22,50,False
2018-04-29,51,False
2018-05-06,32,False
2018-05-13,34,False
2018-05-20,85,False
2018-05-27,17,False
2018-06-03,57,False
2018-06-10,64,False
2018-06-17,26,False
2018-06-24,34,False
2018-07-01,77,False
2018-07-08,50,False
2018-07-15,68,False
2018-07-22,52,False
2018-07-29,36,False
2018-08-05,100,False
2018-08-12,28,False
2018-08-19,48,False
2018-08-26,78,False
2018-09-02,59,False
2018-09-09,87,False
2018-09-16,66,False
2018-09-23,67,False
2018-09-30,17,False
2018-10-07,93,False
2018-10-14,33,False
2018-10-21,33,False
2018-10-28,61,False
2018-11-04,42,False
2018-11-11,33,False
2018-11-18,16,False
2018-11-25,25,False
2018-12-02,53,False
2018-12-09,43,False
2018-12-16,17,False
2018-12-23,31,False
2018-12-30,77,False
2019-01-06,60,False
2019-01-13,49,False
2019-01-20,56,False
2019-01-27,41,False
2019-02-03,25,False
2019-02-10,66,False
2019-02-17,59,False
2019-02-24,17,False
2019-03-03,50,False
2019-03-10,74,False
2019-03-17,50,False
2019-03-24,33,False
2019-03-31,32,False
2019-04-07,50,False
2019-04-14,71,False
2019-04-21,58,False
2019-04-28,32,False
2019-05-05,88,False
2019-05-12,39,False
2019-05-19,61,False
2019-05-26,46,False
2019-06-02,46,False
2019-06-09,48,False
2019-06-16,33,False
2019-06-23,51,False
2019-06-30,91,False
2019-07-07,63,False
2019-07-14,49,False
2019-07-21,17,False
2019-07-28,18,False
2019-08-04,63,False
2019-08-11,73,False
2019-08-18,36,False
2019-08-25,66,False
2019-09-01,31,False
2019-09-08,63,False
2019-09-15,61,False
2019-09-22,31,False
2019-09-29,53,False
2019-10-06,52,False
2019-10-13,44,False
2019-10-20,30,False
2019-10-27,47,False
2019-11-03,30,False
2019-11-10,38,False
2019-11-17,38,False
2019-11-24,51,False
2019-12-01,31,False
2019-12-08,55,False
2019-12-15,38,False
2019-12-22,44,False
2019-12-29,42,False
2020-01-05,54,False
2020-01-12,50,False
2020-01-19,35,False
2020-01-26,66,False
2020-02-02,59,False
2020-02-09,22,False
2020-02-16,51,False
2020-02-23,71,False
2020-03-01,56,False
2020-03-08,42,False
2020-03-15,21,False
2020-03-22,40,False
2020-03-29,13,False
2020-04-05,71,False
2020-04-12,0,True
