geoName,geoCode,costurera
Andalusia,ES-AN,75
Aragon,ES-AR,44
Asturias,ES-AS,39
Balearic Islands,ES-IB,33
Basque Country,ES-PV,40
Canary Islands,ES-CN,84
Cantabria,ES-CB,83
Castile and León,ES-CL,58
Castile-La Mancha,ES-CM,54
Catalonia,ES-CT,73
Ceuta,ES-CE,0
Community of Madrid,ES-MD,74
Extremadura,ES-EX,74
Galicia,ES-GA,62
La Rioja,ES-RI,0
Melilla,ES-ML,0
Navarre,ES-NC,63
Region of Murcia,ES-MC,100
Valencian Community,ES-VC,67
