date,addio al celibato,isPartial
2018-01-07,23,False
2018-01-14,23,False
2018-01-21,27,False
2018-01-28,30,False
2018-02-04,22,False
2018-02-11,26,False
2018-02-18,27,False
2018-02-25,23,False
2018-03-04,31,False
2018-03-11,46,False
2018-03-18,35,False
2018-03-25,38,False
2018-04-01,49,False
2018-04-08,46,False
2018-04-15,60,False
2018-04-22,65,False
2018-04-29,94,False
2018-05-06,80,False
2018-05-13,91,False
2018-05-20,98,False
2018-05-27,82,False
2018-06-03,81,False
2018-06-10,100,False
2018-06-17,87,False
2018-06-24,75,False
2018-07-01,71,False
2018-07-08,75,False
2018-07-15,64,False
2018-07-22,52,False
2018-07-29,64,False
2018-08-05,39,False
2018-08-12,37,False
2018-08-19,64,False
2018-08-26,60,False
2018-09-02,60,False
2018-09-09,51,False
2018-09-16,53,False
2018-09-23,16,False
2018-09-30,76,False
2018-10-07,21,False
2018-10-14,14,False
2018-10-21,15,False
2018-10-28,13,False
2018-11-04,18,False
2018-11-11,15,False
2018-11-18,18,False
2018-11-25,20,False
2018-12-02,14,False
2018-12-09,16,False
2018-12-16,21,False
2018-12-23,18,False
2018-12-30,16,False
2019-01-06,21,False
2019-01-13,24,False
2019-01-20,32,False
2019-01-27,38,False
2019-02-03,19,False
2019-02-10,22,False
2019-02-17,23,False
2019-02-24,30,False
2019-03-03,34,False
2019-03-10,26,False
2019-03-17,51,False
2019-03-24,38,False
2019-03-31,50,False
2019-04-07,54,False
2019-04-14,53,False
2019-04-21,56,False
2019-04-28,84,False
2019-05-05,75,False
2019-05-12,73,False
2019-05-19,65,False
2019-05-26,73,False
2019-06-02,93,False
2019-06-09,65,False
2019-06-16,63,False
2019-06-23,72,False
2019-06-30,77,False
2019-07-07,67,False
2019-07-14,68,False
2019-07-21,47,False
2019-07-28,60,False
2019-08-04,44,False
2019-08-11,41,False
2019-08-18,71,False
2019-08-25,59,False
2019-09-01,55,False
2019-09-08,43,False
2019-09-15,36,False
2019-09-22,23,False
2019-09-29,20,False
2019-10-06,15,False
2019-10-13,19,False
2019-10-20,15,False
2019-10-27,16,False
2019-11-03,11,False
2019-11-10,16,False
2019-11-17,17,False
2019-11-24,18,False
2019-12-01,22,False
2019-12-08,16,False
2019-12-15,18,False
2019-12-22,17,False
2019-12-29,18,False
2020-01-05,33,False
2020-01-12,28,False
2020-01-19,32,False
2020-01-26,32,False
2020-02-02,24,False
2020-02-09,35,False
2020-02-16,27,False
2020-02-23,29,False
2020-03-01,28,False
2020-03-08,7,False
2020-03-15,10,False
2020-03-22,6,False
2020-03-29,10,False
2020-04-05,8,False
2020-04-12,14,False
2020-04-19,21,False
2020-04-26,13,True
