date,Gas Wasser Installateur,isPartial
2018-01-07,69,False
2018-01-14,60,False
2018-01-21,85,False
2018-01-28,76,False
2018-02-04,57,False
2018-02-11,35,False
2018-02-18,52,False
2018-02-25,39,False
2018-03-04,56,False
2018-03-11,43,False
2018-03-18,78,False
2018-03-25,55,False
2018-04-01,46,False
2018-04-08,58,False
2018-04-15,32,False
2018-04-22,56,False
2018-04-29,41,False
2018-05-06,28,False
2018-05-13,48,False
2018-05-20,42,False
2018-05-27,49,False
2018-06-03,48,False
2018-06-10,63,False
2018-06-17,30,False
2018-06-24,66,False
2018-07-01,43,False
2018-07-08,30,False
2018-07-15,54,False
2018-07-22,67,False
2018-07-29,32,False
2018-08-05,40,False
2018-08-12,27,False
2018-08-19,63,False
2018-08-26,22,False
2018-09-02,53,False
2018-09-09,79,False
2018-09-16,48,False
2018-09-23,96,False
2018-09-30,57,False
2018-10-07,100,False
2018-10-14,65,False
2018-10-21,47,False
2018-10-28,93,False
2018-11-04,83,False
2018-11-11,68,False
2018-11-18,66,False
2018-11-25,67,False
2018-12-02,50,False
2018-12-09,84,False
2018-12-16,35,False
2018-12-23,65,False
2018-12-30,59,False
2019-01-06,56,False
2019-01-13,71,False
2019-01-20,95,False
2019-01-27,79,False
2019-02-03,61,False
2019-02-10,37,False
2019-02-17,66,False
2019-02-24,50,False
2019-03-03,73,False
2019-03-10,60,False
2019-03-17,76,False
2019-03-24,84,False
2019-03-31,38,False
2019-04-07,57,False
2019-04-14,50,False
2019-04-21,39,False
2019-04-28,37,False
2019-05-05,36,False
2019-05-12,54,False
2019-05-19,49,False
2019-05-26,42,False
2019-06-02,53,False
2019-06-09,51,False
2019-06-16,59,False
2019-06-23,46,False
2019-06-30,67,False
2019-07-07,61,False
2019-07-14,56,False
2019-07-21,76,False
2019-07-28,83,False
2019-08-04,35,False
2019-08-11,67,False
2019-08-18,43,False
2019-08-25,33,False
2019-09-01,61,False
2019-09-08,87,False
2019-09-15,62,False
2019-09-22,64,False
2019-09-29,53,False
2019-10-06,88,False
2019-10-13,59,False
2019-10-20,32,False
2019-10-27,78,False
2019-11-03,75,False
2019-11-10,84,False
2019-11-17,84,False
2019-11-24,72,False
2019-12-01,42,False
2019-12-08,58,False
2019-12-15,39,False
2019-12-22,45,False
2019-12-29,46,False
2020-01-05,78,False
2020-01-12,75,False
2020-01-19,70,False
2020-01-26,54,False
2020-02-02,80,False
2020-02-09,61,False
2020-02-16,63,False
2020-02-23,43,False
2020-03-01,57,False
2020-03-08,67,False
2020-03-15,62,False
2020-03-22,33,False
2020-03-29,29,False
2020-04-05,36,False
2020-04-12,45,False
2020-04-19,80,False
2020-04-26,39,False
2020-05-03,59,False
2020-05-10,50,False
