date,vidéaste,isPartial
2018-01-07,82,False
2018-01-14,80,False
2018-01-21,48,False
2018-01-28,74,False
2018-02-04,65,False
2018-02-11,74,False
2018-02-18,51,False
2018-02-25,49,False
2018-03-04,49,False
2018-03-11,83,False
2018-03-18,58,False
2018-03-25,88,False
2018-04-01,25,False
2018-04-08,75,False
2018-04-15,81,False
2018-04-22,64,False
2018-04-29,77,False
2018-05-06,35,False
2018-05-13,87,False
2018-05-20,34,False
2018-05-27,49,False
2018-06-03,58,False
2018-06-10,24,False
2018-06-17,63,False
2018-06-24,42,False
2018-07-01,49,False
2018-07-08,34,False
2018-07-15,27,False
2018-07-22,54,False
2018-07-29,100,False
2018-08-05,41,False
2018-08-12,56,False
2018-08-19,54,False
2018-08-26,26,False
2018-09-02,51,False
2018-09-09,51,False
2018-09-16,25,False
2018-09-23,93,False
2018-09-30,76,False
2018-10-07,25,False
2018-10-14,67,False
2018-10-21,59,False
2018-10-28,38,False
2018-11-04,41,False
2018-11-11,82,False
2018-11-18,40,False
2018-11-25,49,False
2018-12-02,25,False
2018-12-09,33,False
2018-12-16,26,False
2018-12-23,29,False
2018-12-30,54,False
2019-01-06,49,False
2019-01-13,74,False
2019-01-20,36,False
2019-01-27,32,False
2019-02-03,40,False
2019-02-10,88,False
2019-02-17,93,False
2019-02-24,42,False
2019-03-03,64,False
2019-03-10,25,False
2019-03-17,76,False
2019-03-24,59,False
2019-03-31,33,False
2019-04-07,50,False
2019-04-14,25,False
2019-04-21,25,False
2019-04-28,37,False
2019-05-05,48,False
2019-05-12,90,False
2019-05-19,32,False
2019-05-26,37,False
2019-06-02,45,False
2019-06-09,24,False
2019-06-16,37,False
2019-06-23,40,False
2019-06-30,61,False
2019-07-07,49,False
2019-07-14,84,False
2019-07-21,26,False
2019-07-28,53,False
2019-08-04,53,False
2019-08-11,52,False
2019-08-18,65,False
2019-08-25,49,False
2019-09-01,86,False
2019-09-08,71,False
2019-09-15,47,False
2019-09-22,68,False
2019-09-29,38,False
2019-10-06,46,False
2019-10-13,38,False
2019-10-20,31,False
2019-10-27,68,False
2019-11-03,55,False
2019-11-10,45,False
2019-11-17,30,False
2019-11-24,65,False
2019-12-01,66,False
2019-12-08,29,False
2019-12-15,37,False
2019-12-22,25,False
2019-12-29,40,False
2020-01-05,43,False
2020-01-12,49,False
2020-01-19,58,False
2020-01-26,49,False
2020-02-02,75,False
2020-02-09,65,False
2020-02-16,29,False
2020-02-23,21,False
2020-03-01,41,False
2020-03-08,48,False
2020-03-15,65,False
2020-03-22,48,False
2020-03-29,44,False
2020-04-05,38,False
2020-04-12,26,False
2020-04-19,63,False
2020-04-26,99,False
2020-05-03,67,False
2020-05-10,19,False
2020-05-17,24,True
