geoName,geoCode,Teppichreinigung
Baden-Württemberg,DE-BW,78
Bavaria,DE-BY,54
Berlin,DE-BE,77
Brandenburg,DE-BB,55
Bremen,DE-HB,70
Hamburg,DE-HH,63
Hesse,DE-HE,100
Lower Saxony,DE-NI,43
Mecklenburg-Vorpommern,DE-MV,63
North Rhine-Westphalia,DE-NW,73
Rhineland-Palatinate,DE-RP,32
Saarland,DE-SL,39
Saxony,DE-SN,73
Saxony-Anhalt,DE-ST,76
Schleswig-Holstein,DE-SH,86
Thuringia,DE-TH,81
