,geoName,cheminee bioethanol
3,Brittany,0.0
5,Centre-Val de Loire,70.0
7,Corsica,0.0
15,Pays de la Loire,0.0
18,Provence-Alpes-Côte d'Azur,0.0
21,Île-de-France,42.0
22,Grand-est,26.0
23,Hauts-de-france,68.0
24,Normandie,100.0
25,Bourgogne-Franche-Comté,57.99999999999999
26,Nouvelle-Aquitaine,60.0
27,Occitanie,69.0
28,Auvergne-Rhône-Alpes,16.0
