geoName,geoCode,Baumschnitt
Burgenland,AT-1,93
Carinthia,AT-2,100
Lower Austria,AT-3,63
Salzburg,AT-5,64
Styria,AT-6,47
Tyrol,AT-7,72
Upper Austria,AT-4,25
Vienna,AT-9,56
Vorarlberg,AT-8,0
