date,compleanno,isPartial
2018-01-07,94,False
2018-01-14,98,False
2018-01-21,95,False
2018-01-28,94,False
2018-02-04,95,False
2018-02-11,91,False
2018-02-18,93,False
2018-02-25,96,False
2018-03-04,89,False
2018-03-11,100,False
2018-03-18,91,False
2018-03-25,83,False
2018-04-01,86,False
2018-04-08,91,False
2018-04-15,90,False
2018-04-22,85,False
2018-04-29,91,False
2018-05-06,91,False
2018-05-13,87,False
2018-05-20,91,False
2018-05-27,84,False
2018-06-03,85,False
2018-06-10,85,False
2018-06-17,85,False
2018-06-24,87,False
2018-07-01,86,False
2018-07-08,89,False
2018-07-15,82,False
2018-07-22,94,False
2018-07-29,92,False
2018-08-05,88,False
2018-08-12,78,False
2018-08-19,88,False
2018-08-26,90,False
2018-09-02,94,False
2018-09-09,94,False
2018-09-16,95,False
2018-09-23,96,False
2018-09-30,92,False
2018-10-07,92,False
2018-10-14,91,False
2018-10-21,97,False
2018-10-28,85,False
2018-11-04,88,False
2018-11-11,88,False
2018-11-18,80,False
2018-11-25,80,False
2018-12-02,78,False
2018-12-09,72,False
2018-12-16,73,False
2018-12-23,65,False
2018-12-30,78,False
2019-01-06,86,False
2019-01-13,89,False
2019-01-20,85,False
2019-01-27,86,False
2019-02-03,90,False
2019-02-10,83,False
2019-02-17,87,False
2019-02-24,86,False
2019-03-03,85,False
2019-03-10,84,False
2019-03-17,86,False
2019-03-24,81,False
2019-03-31,79,False
2019-04-07,79,False
2019-04-14,70,False
2019-04-21,79,False
2019-04-28,84,False
2019-05-05,85,False
2019-05-12,83,False
2019-05-19,81,False
2019-05-26,75,False
2019-06-02,80,False
2019-06-09,76,False
2019-06-16,77,False
2019-06-23,76,False
2019-06-30,78,False
2019-07-07,77,False
2019-07-14,78,False
2019-07-21,81,False
2019-07-28,83,False
2019-08-04,77,False
2019-08-11,75,False
2019-08-18,75,False
2019-08-25,76,False
2019-09-01,84,False
2019-09-08,84,False
2019-09-15,83,False
2019-09-22,86,False
2019-09-29,86,False
2019-10-06,85,False
2019-10-13,81,False
2019-10-20,78,False
2019-10-27,79,False
2019-11-03,81,False
2019-11-10,79,False
2019-11-17,76,False
2019-11-24,73,False
2019-12-01,73,False
2019-12-08,66,False
2019-12-15,67,False
2019-12-22,65,False
2019-12-29,75,False
2020-01-05,83,False
2020-01-12,87,False
2020-01-19,86,False
2020-01-26,79,False
2020-02-02,84,False
2020-02-09,82,False
2020-02-16,79,False
2020-02-23,63,False
2020-03-01,73,False
2020-03-08,52,False
2020-03-15,61,False
2020-03-22,65,False
2020-03-29,74,False
2020-04-05,77,False
2020-04-12,81,False
2020-04-19,92,False
2020-04-26,84,True
