geoName,geoCode,compleanno
Abruzzo,IT-65,77
Aosta,IT-23,57
Apulia,IT-75,88
Basilicata,IT-77,96
Calabria,IT-78,100
Campania,IT-72,72
Emilia-Romagna,IT-45,52
Friuli-Venezia Giulia,IT-36,55
Lazio,IT-62,58
Liguria,IT-42,51
Lombardy,IT-25,58
Marche,IT-57,57
Molise,IT-67,77
Piedmont,IT-21,63
Sardinia,IT-88,63
Sicily,IT-82,81
Trentino-Alto Adige/South Tyrol,IT-32,40
Tuscany,IT-52,50
Umbria,IT-55,61
Veneto,IT-34,59
