geoName,geoCode,Dachbeschichtung
Baden-Württemberg,DE-BW,17
Bavaria,DE-BY,22
Berlin,DE-BE,12
Brandenburg,DE-BB,34
Bremen,DE-HB,65
Hamburg,DE-HH,48
Hesse,DE-HE,20
Lower Saxony,DE-NI,24
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,16
Rhineland-Palatinate,DE-RP,35
Saarland,DE-SL,50
Saxony,DE-SN,25
Saxony-Anhalt,DE-ST,42
Schleswig-Holstein,DE-SH,41
Thuringia,DE-TH,0
